Hospital_ID,District_ID,Instrument_ID,Annual_Projected_Revenue,Buy_or_not
Hospital 1006,District 15,Instrument 5,4500,1
Hospital 1006,District 19,Instrument 2,66360,1
Hospital 1006,District 20,Instrument 2,102430,1
Hospital 1006,District 28,Instrument 2,24824,1
Hospital 1006,District 28,Instrument 3,9030,1
Hospital 1006,District 3,Instrument 2,110746,1
Hospital 1006,District 32,Instrument 2,71393,1
Hospital 1006,District 32,Instrument 3,102,1
Hospital 1006,District 34,Instrument 2,4800,1
Hospital 1006,District 34,Instrument 3,8772,1
Hospital 1006,District 41,Instrument 2,3540,1
Hospital 1006,District 41,Instrument 3,2834,1
Hospital 1006,District 50,Instrument 2,254549,1
Hospital 1007,District 20,Instrument 2,2009,1
Hospital 1007,District 20,Instrument 3,2878,1
Hospital 1007,District 20,Instrument 7,234,1
Hospital 1007,District 34,Instrument 2,300,1
Hospital 1007,District 34,Instrument 3,180,1
Hospital 1007,District 39,Instrument 2,16039,1
Hospital 1007,District 8,Instrument 2,139560,1
Hospital 1008,District 13,Instrument 2,7344,1
Hospital 1008,District 13,Instrument 3,7452,1
Hospital 1008,District 20,Instrument 2,23491,1
Hospital 1008,District 20,Instrument 3,36995,1
Hospital 1008,District 28,Instrument 2,304776,1
Hospital 1008,District 28,Instrument 3,4608,1
Hospital 1008,District 34,Instrument 2,80658,1
Hospital 1008,District 34,Instrument 3,7716,1
Hospital 1009,District 28,Instrument 5,34955,1
Hospital 101,District 13,Instrument 2,554992,1
Hospital 101,District 13,Instrument 3,75180,1
Hospital 101,District 13,Instrument 4,52500,1
Hospital 101,District 13,Instrument 5,285078,1
Hospital 101,District 20,Instrument 2,18630,1
Hospital 101,District 20,Instrument 3,12450,1
Hospital 101,District 34,Instrument 2,14280,1
Hospital 101,District 34,Instrument 3,10200,1
Hospital 101,District 34,Instrument 5,4200,1
Hospital 101,District 34,Instrument 7,8700,1
Hospital 1010,District 17,Instrument 2,16577,1
Hospital 1010,District 18,Instrument 2,53145,1
Hospital 1010,District 20,Instrument 2,3616,1
Hospital 1010,District 20,Instrument 3,1404,1
Hospital 1010,District 44,Instrument 3,168,1
Hospital 1011,District 32,Instrument 2,6600,1
Hospital 1011,District 32,Instrument 3,175,1
Hospital 1011,District 41,Instrument 2,4998,1
Hospital 1011,District 41,Instrument 3,1296,1
Hospital 1013,District 13,Instrument 2,270,1
Hospital 1013,District 13,Instrument 3,12047,1
Hospital 1013,District 13,Instrument 4,520,1
Hospital 1014,District 12,Instrument 2,119652,1
Hospital 1014,District 12,Instrument 3,119652,1
Hospital 1014,District 13,Instrument 2,134715,1
Hospital 1014,District 13,Instrument 3,119865,1
Hospital 1014,District 13,Instrument 4,23094,1
Hospital 1014,District 15,Instrument 2,31212,1
Hospital 1014,District 15,Instrument 3,17908,1
Hospital 1014,District 15,Instrument 5,4800,1
Hospital 1014,District 17,Instrument 2,20992,1
Hospital 1014,District 17,Instrument 3,14424,1
Hospital 1014,District 19,Instrument 2,25935,1
Hospital 1014,District 20,Instrument 2,81888,1
Hospital 1014,District 20,Instrument 3,119544,1
Hospital 1014,District 28,Instrument 2,186264,1
Hospital 1014,District 28,Instrument 3,96810,1
Hospital 1014,District 28,Instrument 4,29016,1
Hospital 1014,District 3,Instrument 2,21562,1
Hospital 1014,District 32,Instrument 2,27000,1
Hospital 1014,District 32,Instrument 3,18000,1
Hospital 1014,District 34,Instrument 2,11670,1
Hospital 1014,District 34,Instrument 3,24474,1
Hospital 1014,District 34,Instrument 4,1224,1
Hospital 1014,District 39,Instrument 2,29712,1
Hospital 1014,District 4,Instrument 2,136927,1
Hospital 1014,District 41,Instrument 2,90891,1
Hospital 1014,District 41,Instrument 3,86193,1
Hospital 1014,District 44,Instrument 2,152586,1
Hospital 1014,District 44,Instrument 3,152586,1
Hospital 1014,District 50,Instrument 2,157859,1
Hospital 1014,District 50,Instrument 3,48312,1
Hospital 1014,District 50,Instrument 4,55080,1
Hospital 1014,District 50,Instrument 5,27846,1
Hospital 1016,District 13,Instrument 2,524616,1
Hospital 1016,District 13,Instrument 3,701104,1
Hospital 1016,District 13,Instrument 4,48000,1
Hospital 1016,District 13,Instrument 5,2376,1
Hospital 1016,District 41,Instrument 3,3300,1
Hospital 1017,District 20,Instrument 2,427,1
Hospital 1017,District 20,Instrument 3,137,1
Hospital 1018,District 39,Instrument 2,181,1
Hospital 1018,District 39,Instrument 4,181,1
Hospital 1019,District 34,Instrument 2,900,1
Hospital 1019,District 41,Instrument 2,900,1
Hospital 102,District 13,Instrument 5,67770,1
Hospital 102,District 15,Instrument 2,15336,1
Hospital 102,District 20,Instrument 2,8280,1
Hospital 102,District 28,Instrument 2,118170,1
Hospital 102,District 28,Instrument 3,30656,1
Hospital 102,District 32,Instrument 5,12000,1
Hospital 102,District 34,Instrument 2,4518,1
Hospital 102,District 34,Instrument 3,918,1
Hospital 102,District 34,Instrument 4,3216,1
Hospital 102,District 34,Instrument 5,540,1
Hospital 102,District 34,Instrument 7,600,1
Hospital 102,District 39,Instrument 2,160,1
Hospital 102,District 48,Instrument 2,10200,1
Hospital 1021,District 21,Instrument 7,5400,1
Hospital 1021,District 39,Instrument 2,505304,1
Hospital 1022,District 20,Instrument 2,23302,1
Hospital 1022,District 20,Instrument 3,2206,1
Hospital 1022,District 28,Instrument 2,98832,1
Hospital 1022,District 28,Instrument 3,18204,1
Hospital 1022,District 34,Instrument 2,19836,1
Hospital 1022,District 34,Instrument 3,13770,1
Hospital 1022,District 39,Instrument 2,26558,1
Hospital 1022,District 39,Instrument 7,721516,1
Hospital 1023,District 29,Instrument 2,159472,1
Hospital 1023,District 29,Instrument 3,159472,1
Hospital 1023,District 50,Instrument 2,84228,1
Hospital 1023,District 50,Instrument 3,19056,1
Hospital 1023,District 50,Instrument 4,175555,1
Hospital 1024,District 13,Instrument 2,145932,1
Hospital 1024,District 13,Instrument 3,6087,1
Hospital 1024,District 41,Instrument 2,153468,1
Hospital 1024,District 41,Instrument 3,199312,1
Hospital 1024,District 41,Instrument 5,16500,1
Hospital 1024,District 41,Instrument 8,9324,1
Hospital 1024,District 50,Instrument 2,125772,1
Hospital 1024,District 50,Instrument 3,34704,1
Hospital 1024,District 50,Instrument 7,2520,1
Hospital 1025,District 20,Instrument 2,356076,1
Hospital 1025,District 20,Instrument 3,175032,1
Hospital 1025,District 20,Instrument 7,155100,1
Hospital 1025,District 50,Instrument 3,9804,1
Hospital 1026,District 20,Instrument 2,72480,1
Hospital 1027,District 13,Instrument 2,1815,1
Hospital 1028,District 13,Instrument 3,5694,1
Hospital 1028,District 13,Instrument 4,6480,1
Hospital 1029,District 28,Instrument 5,23166,1
Hospital 1031,District 50,Instrument 5,12566,1
Hospital 1033,District 12,Instrument 2,13650,1
Hospital 1033,District 12,Instrument 3,12600,1
Hospital 1033,District 13,Instrument 2,63487,1
Hospital 1033,District 15,Instrument 2,3600,1
Hospital 1033,District 20,Instrument 2,5250,1
Hospital 1033,District 20,Instrument 3,19049,1
Hospital 1033,District 20,Instrument 7,20150,1
Hospital 1033,District 32,Instrument 2,5400,1
Hospital 1033,District 32,Instrument 3,5172,1
Hospital 1033,District 32,Instrument 5,3000,1
Hospital 1033,District 34,Instrument 3,360,1
Hospital 1033,District 41,Instrument 3,16179,1
Hospital 1033,District 50,Instrument 2,9142,1
Hospital 1033,District 50,Instrument 3,15480,1
Hospital 1034,District 13,Instrument 2,224706,1
Hospital 1034,District 13,Instrument 3,9906,1
Hospital 1034,District 19,Instrument 2,4032,1
Hospital 1034,District 20,Instrument 2,55923,1
Hospital 1034,District 20,Instrument 3,17393,1
Hospital 1034,District 41,Instrument 2,7944,1
Hospital 1034,District 41,Instrument 3,34122,1
Hospital 1034,District 50,Instrument 3,47981,1
Hospital 1035,District 13,Instrument 2,61404,1
Hospital 1035,District 13,Instrument 3,14004,1
Hospital 1035,District 17,Instrument 2,2580,1
Hospital 1035,District 17,Instrument 3,432,1
Hospital 1035,District 28,Instrument 2,36630,1
Hospital 1035,District 28,Instrument 3,7428,1
Hospital 1035,District 32,Instrument 2,7440,1
Hospital 1035,District 32,Instrument 3,1500,1
Hospital 1035,District 32,Instrument 5,1536,1
Hospital 1035,District 41,Instrument 2,12780,1
Hospital 1035,District 41,Instrument 3,12600,1
Hospital 1035,District 50,Instrument 2,109230,1
Hospital 1035,District 50,Instrument 3,19389,1
Hospital 1036,District 20,Instrument 2,804,1
Hospital 1036,District 20,Instrument 3,276,1
Hospital 1036,District 41,Instrument 2,1260,1
Hospital 1036,District 41,Instrument 3,918,1
Hospital 1037,District 10,Instrument 2,206239,1
Hospital 1037,District 10,Instrument 3,240,1
Hospital 1037,District 10,Instrument 4,120,1
Hospital 1037,District 13,Instrument 2,9000,1
Hospital 1037,District 14,Instrument 2,178560,1
Hospital 1037,District 15,Instrument 2,194442,1
Hospital 1037,District 15,Instrument 3,7080,1
Hospital 1037,District 15,Instrument 5,58200,1
Hospital 1037,District 15,Instrument 7,1218,1
Hospital 1037,District 17,Instrument 2,656371,1
Hospital 1037,District 17,Instrument 3,26471,1
Hospital 1037,District 17,Instrument 4,4860,1
Hospital 1037,District 19,Instrument 2,13500,1
Hospital 1037,District 20,Instrument 2,5223,1
Hospital 1037,District 20,Instrument 3,1379,1
Hospital 1037,District 20,Instrument 7,468,1
Hospital 1037,District 21,Instrument 2,26760,1
Hospital 1037,District 24,Instrument 2,3000,1
Hospital 1037,District 3,Instrument 2,101550,1
Hospital 1037,District 32,Instrument 5,10800,1
Hospital 1037,District 34,Instrument 2,89976,1
Hospital 1037,District 34,Instrument 3,70344,1
Hospital 1037,District 39,Instrument 2,179100,1
Hospital 1037,District 39,Instrument 4,120,1
Hospital 1037,District 4,Instrument 2,120450,1
Hospital 1037,District 44,Instrument 2,900000,1
Hospital 1037,District 44,Instrument 3,120,1
Hospital 1037,District 48,Instrument 3,2640,1
Hospital 1037,District 48,Instrument 7,1830,1
Hospital 1037,District 49,Instrument 2,171000,1
Hospital 1037,District 50,Instrument 2,87294,1
Hospital 1037,District 50,Instrument 3,37001,1
Hospital 1037,District 8,Instrument 2,257,1
Hospital 1038,District 39,Instrument 2,5078,1
Hospital 1038,District 39,Instrument 7,1240,1
Hospital 1038,District 50,Instrument 2,65748,1
Hospital 1038,District 50,Instrument 3,4824,1
Hospital 104,District 17,Instrument 2,26935,1
Hospital 104,District 18,Instrument 7,134246,1
Hospital 104,District 19,Instrument 5,332610,1
Hospital 104,District 20,Instrument 2,2880,1
Hospital 104,District 20,Instrument 3,2400,1
Hospital 104,District 50,Instrument 5,694442,1
Hospital 104,District 8,Instrument 2,1080,1
Hospital 1044,District 13,Instrument 4,49263,1
Hospital 1044,District 20,Instrument 2,17556,1
Hospital 1044,District 28,Instrument 2,35520,1
Hospital 1044,District 28,Instrument 4,2160,1
Hospital 1047,District 13,Instrument 5,7530,1
Hospital 1047,District 20,Instrument 2,4520,1
Hospital 1047,District 20,Instrument 3,2192,1
Hospital 1049,District 13,Instrument 2,157698,1
Hospital 1049,District 13,Instrument 3,24952,1
Hospital 1049,District 13,Instrument 4,360,1
Hospital 1049,District 13,Instrument 5,23994,1
Hospital 1049,District 20,Instrument 2,33102,1
Hospital 1049,District 20,Instrument 3,20334,1
Hospital 1049,District 28,Instrument 2,51002,1
Hospital 1049,District 4,Instrument 2,11562,1
Hospital 1049,District 41,Instrument 2,108926,1
Hospital 1049,District 41,Instrument 3,153102,1
Hospital 1049,District 41,Instrument 5,300,1
Hospital 105,District 13,Instrument 2,10272,1
Hospital 105,District 13,Instrument 5,180,1
Hospital 105,District 20,Instrument 2,3930,1
Hospital 105,District 20,Instrument 3,1077,1
Hospital 105,District 50,Instrument 2,2469,1
Hospital 105,District 50,Instrument 3,5752,1
Hospital 1050,District 13,Instrument 2,822,1
Hospital 1051,District 13,Instrument 2,73731,1
Hospital 1051,District 15,Instrument 2,30306,1
Hospital 1051,District 15,Instrument 3,840,1
Hospital 1051,District 15,Instrument 5,4500,1
Hospital 1051,District 15,Instrument 7,12000,1
Hospital 1051,District 17,Instrument 2,1958,1
Hospital 1051,District 17,Instrument 3,158,1
Hospital 1051,District 18,Instrument 7,9076,1
Hospital 1051,District 20,Instrument 2,91715,1
Hospital 1051,District 20,Instrument 3,19796,1
Hospital 1051,District 28,Instrument 2,447846,1
Hospital 1051,District 28,Instrument 3,243027,1
Hospital 1051,District 28,Instrument 4,20784,1
Hospital 1051,District 32,Instrument 5,3520,1
Hospital 1051,District 39,Instrument 2,2889,1
Hospital 1051,District 48,Instrument 7,13344,1
Hospital 1052,District 13,Instrument 2,27486,1
Hospital 1052,District 13,Instrument 3,1489,1
Hospital 1053,District 20,Instrument 3,817,1
Hospital 1054,District 20,Instrument 2,402,1
Hospital 1054,District 34,Instrument 3,396,1
Hospital 1054,District 34,Instrument 7,19140,1
Hospital 1056,District 32,Instrument 2,4800,1
Hospital 1056,District 32,Instrument 3,1973,1
Hospital 1056,District 41,Instrument 3,9216,1
Hospital 1057,District 10,Instrument 2,69668,1
Hospital 1057,District 13,Instrument 2,265914,1
Hospital 1057,District 13,Instrument 3,23429,1
Hospital 1057,District 17,Instrument 2,250251,1
Hospital 1057,District 18,Instrument 2,627773,1
Hospital 1057,District 2,Instrument 2,22848,1
Hospital 1057,District 2,Instrument 3,1944,1
Hospital 1057,District 20,Instrument 2,119802,1
Hospital 1057,District 20,Instrument 3,22200,1
Hospital 1057,District 21,Instrument 2,55770,1
Hospital 1057,District 21,Instrument 7,25626,1
Hospital 1057,District 25,Instrument 2,11028,1
Hospital 1057,District 25,Instrument 3,11028,1
Hospital 1057,District 28,Instrument 2,6519,1
Hospital 1057,District 28,Instrument 3,9630,1
Hospital 1057,District 34,Instrument 2,960,1
Hospital 1057,District 39,Instrument 7,7753,1
Hospital 1057,District 41,Instrument 2,40716,1
Hospital 1057,District 50,Instrument 2,451314,1
Hospital 1058,District 13,Instrument 2,238,1
Hospital 1058,District 13,Instrument 3,120,1
Hospital 1058,District 41,Instrument 2,360,1
Hospital 1058,District 50,Instrument 2,10153,1
Hospital 1058,District 50,Instrument 3,7043,1
Hospital 1058,District 50,Instrument 4,437921,1
Hospital 1059,District 34,Instrument 2,55014,1
Hospital 1059,District 34,Instrument 3,5148,1
Hospital 1059,District 34,Instrument 4,144,1
Hospital 1059,District 34,Instrument 5,4200,1
Hospital 1059,District 50,Instrument 2,4039,1
Hospital 106,District 32,Instrument 2,12960,1
Hospital 106,District 32,Instrument 5,2520,1
Hospital 106,District 41,Instrument 2,234000,1
Hospital 106,District 41,Instrument 3,52950,1
Hospital 1060,District 13,Instrument 2,180108,1
Hospital 1060,District 13,Instrument 3,84772,1
Hospital 1060,District 13,Instrument 4,3726,1
Hospital 1060,District 20,Instrument 3,35297,1
Hospital 1063,District 13,Instrument 3,11256,1
Hospital 1063,District 13,Instrument 4,6480,1
Hospital 1063,District 20,Instrument 2,14802,1
Hospital 1063,District 20,Instrument 3,13920,1
Hospital 1063,District 20,Instrument 7,13700,1
Hospital 1063,District 32,Instrument 2,3240,1
Hospital 1063,District 32,Instrument 3,3936,1
Hospital 1063,District 32,Instrument 5,5280,1
Hospital 1063,District 41,Instrument 2,11700,1
Hospital 1063,District 41,Instrument 3,4332,1
Hospital 1063,District 41,Instrument 5,8676,1
Hospital 1066,District 13,Instrument 2,51816,1
Hospital 1066,District 20,Instrument 2,3078,1
Hospital 1068,District 10,Instrument 2,206801,1
Hospital 1068,District 10,Instrument 3,161086,1
Hospital 1068,District 10,Instrument 7,2777,1
Hospital 1068,District 13,Instrument 2,26820,1
Hospital 1068,District 13,Instrument 3,254628,1
Hospital 1068,District 13,Instrument 4,84600,1
Hospital 1068,District 13,Instrument 5,36960,1
Hospital 1068,District 15,Instrument 2,253254,1
Hospital 1068,District 15,Instrument 3,204886,1
Hospital 1068,District 15,Instrument 5,9000,1
Hospital 1068,District 18,Instrument 5,4881,1
Hospital 1068,District 19,Instrument 2,60000,1
Hospital 1068,District 20,Instrument 2,693316,1
Hospital 1068,District 20,Instrument 3,864152,1
Hospital 1068,District 28,Instrument 2,107400,1
Hospital 1068,District 28,Instrument 3,31800,1
Hospital 1068,District 28,Instrument 4,8100,1
Hospital 1068,District 28,Instrument 5,9000,1
Hospital 1068,District 32,Instrument 2,181277,1
Hospital 1068,District 32,Instrument 3,103260,1
Hospital 1068,District 34,Instrument 2,64977,1
Hospital 1068,District 34,Instrument 3,35367,1
Hospital 1068,District 34,Instrument 4,1656,1
Hospital 1068,District 34,Instrument 5,365,1
Hospital 1068,District 34,Instrument 7,390,1
Hospital 1068,District 39,Instrument 2,725,1
Hospital 1068,District 39,Instrument 4,22913,1
Hospital 1068,District 41,Instrument 2,196527,1
Hospital 1068,District 41,Instrument 3,196923,1
Hospital 1068,District 44,Instrument 2,3834000,1
Hospital 1068,District 50,Instrument 3,1176,1
Hospital 1068,District 7,Instrument 2,58560,1
Hospital 1068,District 8,Instrument 2,73080,1
Hospital 1069,District 10,Instrument 7,599,1
Hospital 1069,District 12,Instrument 2,75096,1
Hospital 1069,District 12,Instrument 3,39000,1
Hospital 1069,District 13,Instrument 2,3960,1
Hospital 1069,District 13,Instrument 5,30120,1
Hospital 1069,District 15,Instrument 2,9882,1
Hospital 1069,District 15,Instrument 3,3072,1
Hospital 1069,District 17,Instrument 2,15408,1
Hospital 1069,District 17,Instrument 3,2231,1
Hospital 1069,District 18,Instrument 2,1190,1
Hospital 1069,District 18,Instrument 3,4318,1
Hospital 1069,District 20,Instrument 2,144342,1
Hospital 1069,District 20,Instrument 3,48966,1
Hospital 1069,District 28,Instrument 2,28102,1
Hospital 1069,District 28,Instrument 3,31536,1
Hospital 1069,District 3,Instrument 2,3120,1
Hospital 1069,District 30,Instrument 2,11520,1
Hospital 1069,District 32,Instrument 2,10632,1
Hospital 1069,District 32,Instrument 3,3315,1
Hospital 1069,District 32,Instrument 4,1176,1
Hospital 1069,District 32,Instrument 5,1200,1
Hospital 1069,District 34,Instrument 2,19614,1
Hospital 1069,District 34,Instrument 3,8376,1
Hospital 1069,District 34,Instrument 4,1470,1
Hospital 1069,District 39,Instrument 2,14304,1
Hospital 1069,District 39,Instrument 4,6782,1
Hospital 1069,District 4,Instrument 2,25344,1
Hospital 1069,District 41,Instrument 2,40140,1
Hospital 1069,District 41,Instrument 3,43854,1
Hospital 1069,District 41,Instrument 5,19371,1
Hospital 1069,District 44,Instrument 2,43152,1
Hospital 1069,District 44,Instrument 3,2131,1
Hospital 1069,District 5,Instrument 2,6300,1
Hospital 1069,District 7,Instrument 2,4662,1
Hospital 1069,District 8,Instrument 2,20409,1
Hospital 1069,District 9,Instrument 2,1380312,1
Hospital 107,District 20,Instrument 2,1607,1
Hospital 107,District 20,Instrument 3,276,1
Hospital 1071,District 20,Instrument 2,470,1
Hospital 1071,District 20,Instrument 3,6359,1
Hospital 1072,District 20,Instrument 3,1500,1
Hospital 1073,District 12,Instrument 2,3798,1
Hospital 1073,District 12,Instrument 3,10098,1
Hospital 1073,District 13,Instrument 2,13020,1
Hospital 1073,District 13,Instrument 3,1500,1
Hospital 1073,District 50,Instrument 2,114000,1
Hospital 1074,District 17,Instrument 2,32205,1
Hospital 1074,District 20,Instrument 3,10147,1
Hospital 1076,District 41,Instrument 2,113485,1
Hospital 1076,District 41,Instrument 3,20916,1
Hospital 1076,District 41,Instrument 5,4160,1
Hospital 1076,District 8,Instrument 2,52048,1
Hospital 1078,District 50,Instrument 2,9011,1
Hospital 1081,District 20,Instrument 8,4622900,1
Hospital 1084,District 34,Instrument 2,558,1
Hospital 1084,District 34,Instrument 3,120,1
Hospital 1084,District 41,Instrument 2,14850,1
Hospital 1084,District 41,Instrument 3,3948,1
Hospital 1085,District 13,Instrument 2,15120,1
Hospital 1085,District 13,Instrument 3,7392,1
Hospital 1085,District 32,Instrument 2,2778,1
Hospital 1085,District 32,Instrument 3,1970,1
Hospital 1085,District 50,Instrument 2,13192,1
Hospital 1085,District 50,Instrument 3,2993,1
Hospital 1087,District 39,Instrument 2,107105,1
Hospital 1088,District 41,Instrument 2,13968,1
Hospital 1088,District 41,Instrument 3,23106,1
Hospital 1090,District 13,Instrument 2,163101,1
Hospital 1090,District 15,Instrument 2,8064,1
Hospital 1090,District 17,Instrument 2,15812,1
Hospital 1090,District 20,Instrument 2,60634,1
Hospital 1090,District 20,Instrument 3,41058,1
Hospital 1090,District 4,Instrument 2,30192,1
Hospital 1090,District 41,Instrument 2,70620,1
Hospital 1090,District 41,Instrument 3,720,1
Hospital 1090,District 8,Instrument 2,44148,1
Hospital 1091,District 13,Instrument 2,27438,1
Hospital 1091,District 13,Instrument 5,504,1
Hospital 1091,District 17,Instrument 2,40708,1
Hospital 1091,District 17,Instrument 3,1149,1
Hospital 1091,District 18,Instrument 5,2648,1
Hospital 1091,District 18,Instrument 7,2446,1
Hospital 1091,District 28,Instrument 2,131065,1
Hospital 1091,District 28,Instrument 3,19560,1
Hospital 1091,District 28,Instrument 5,54742,1
Hospital 1091,District 39,Instrument 7,1920,1
Hospital 1091,District 41,Instrument 2,15300,1
Hospital 1091,District 41,Instrument 3,15300,1
Hospital 1091,District 50,Instrument 2,39257,1
Hospital 1091,District 50,Instrument 5,7258,1
Hospital 1092,District 3,Instrument 2,149253,1
Hospital 1092,District 34,Instrument 2,908979,1
Hospital 1092,District 34,Instrument 3,358012,1
Hospital 1092,District 34,Instrument 4,102750,1
Hospital 1092,District 34,Instrument 5,2520,1
Hospital 1092,District 34,Instrument 7,2643111,1
Hospital 1092,District 34,Instrument 8,180,1
Hospital 1092,District 5,Instrument 2,27480,1
Hospital 1093,District 13,Instrument 3,7866,1
Hospital 1093,District 13,Instrument 5,6282,1
Hospital 1093,District 20,Instrument 2,15510,1
Hospital 1093,District 20,Instrument 3,180,1
Hospital 1093,District 41,Instrument 2,900,1
Hospital 1093,District 41,Instrument 3,4428,1
Hospital 1093,District 41,Instrument 5,3300,1
Hospital 1094,District 20,Instrument 2,44206,1
Hospital 1094,District 20,Instrument 3,17615,1
Hospital 1094,District 20,Instrument 7,702,1
Hospital 1095,District 13,Instrument 2,49560,1
Hospital 1095,District 13,Instrument 3,170352,1
Hospital 1095,District 13,Instrument 5,3594,1
Hospital 1095,District 15,Instrument 2,10236,1
Hospital 1095,District 18,Instrument 7,21037,1
Hospital 1095,District 19,Instrument 2,30000,1
Hospital 1095,District 2,Instrument 2,362508,1
Hospital 1095,District 2,Instrument 3,1157,1
Hospital 1095,District 20,Instrument 2,30076,1
Hospital 1095,District 20,Instrument 3,1109650,1
Hospital 1095,District 34,Instrument 2,163215,1
Hospital 1095,District 34,Instrument 3,419251,1
Hospital 1095,District 34,Instrument 4,30074,1
Hospital 1095,District 35,Instrument 2,116640,1
Hospital 1095,District 39,Instrument 2,12976,1
Hospital 1095,District 39,Instrument 4,10539,1
Hospital 1095,District 41,Instrument 2,184940,1
Hospital 1095,District 41,Instrument 3,1264420,1
Hospital 1095,District 8,Instrument 2,18627,1
Hospital 1096,District 13,Instrument 2,13290,1
Hospital 1096,District 13,Instrument 5,12228,1
Hospital 1096,District 29,Instrument 2,82653,1
Hospital 1096,District 29,Instrument 3,18367,1
Hospital 1096,District 29,Instrument 4,13776,1
Hospital 1096,District 29,Instrument 5,44082,1
Hospital 11,District 20,Instrument 2,67320,1
Hospital 11,District 20,Instrument 3,19860,1
Hospital 11,District 28,Instrument 2,81840,1
Hospital 11,District 28,Instrument 3,4800,1
Hospital 110,District 13,Instrument 2,8280,1
Hospital 110,District 13,Instrument 5,48828,1
Hospital 1100,District 13,Instrument 2,1255,1
Hospital 1100,District 13,Instrument 5,7758,1
Hospital 1100,District 20,Instrument 2,61142,1
Hospital 1100,District 20,Instrument 3,8758,1
Hospital 1100,District 20,Instrument 7,468,1
Hospital 1100,District 28,Instrument 2,20305,1
Hospital 1100,District 32,Instrument 2,12968,1
Hospital 1100,District 32,Instrument 5,4085,1
Hospital 1100,District 34,Instrument 2,5892,1
Hospital 1100,District 34,Instrument 3,3543,1
Hospital 1100,District 4,Instrument 2,29250,1
Hospital 1101,District 13,Instrument 2,5940,1
Hospital 1101,District 13,Instrument 3,3234,1
Hospital 1101,District 20,Instrument 2,4888,1
Hospital 1101,District 20,Instrument 3,15373,1
Hospital 1102,District 13,Instrument 2,290654,1
Hospital 1102,District 13,Instrument 3,273451,1
Hospital 1102,District 13,Instrument 5,33228,1
Hospital 1102,District 13,Instrument 8,6539,1
Hospital 1102,District 20,Instrument 2,6704,1
Hospital 1102,District 20,Instrument 3,37765,1
Hospital 1102,District 34,Instrument 2,2520,1
Hospital 1102,District 34,Instrument 3,9348,1
Hospital 1102,District 50,Instrument 2,3253,1
Hospital 1102,District 50,Instrument 3,6414,1
Hospital 1102,District 50,Instrument 5,64260,1
Hospital 1104,District 13,Instrument 3,12241,1
Hospital 1104,District 20,Instrument 2,17640,1
Hospital 1104,District 20,Instrument 3,900,1
Hospital 1104,District 34,Instrument 2,384,1
Hospital 1104,District 34,Instrument 3,108,1
Hospital 1104,District 34,Instrument 5,150,1
Hospital 1104,District 50,Instrument 3,19653,1
Hospital 1105,District 12,Instrument 2,63738,1
Hospital 1105,District 12,Instrument 3,9274,1
Hospital 1105,District 13,Instrument 2,1101,1
Hospital 1105,District 28,Instrument 2,14328,1
Hospital 1105,District 28,Instrument 3,2082,1
Hospital 1105,District 28,Instrument 4,1620,1
Hospital 1105,District 34,Instrument 2,4500,1
Hospital 1105,District 34,Instrument 3,6624,1
Hospital 1105,District 34,Instrument 7,1620,1
Hospital 1105,District 41,Instrument 2,6000,1
Hospital 1105,District 41,Instrument 3,240,1
