Hospital_ID,Region_ID,District_ID,Instrument_ID,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Year Total,Year Average,Year Median,Max Year,Min Year,First Quarter Sum,Second Quarter Sum,Third Quarter Sum,Fourth Quarter Sum,First Quarter Avg,Second Quarter Avg,Third Quarter Avg,Fourth Quarter Avg,First Half Year Total,First Half Year Average,Second Half Year Total,Second Half Year Average
Hospital 563,Region 2,District 18,Instrument 1,73,70,75,77,83,68,74,67,75,70,55,45,832.00,69.33,71.50,83,45,218.00,228.00,216.00,170.00,72.67,76.00,72.00,56.67,446.00,74.33,386.00,64.86
Hospital 563,Region 2,District 18,Instrument 2,668,650,695,739,774,716,772,671,766,768,726,785,8730.00,727.50,732.50,785,650,2013.00,2229.00,2209.00,2279.00,671.00,743.00,736.33,759.67,4242.00,707.00,4488.00,743.43
Hospital 563,Region 2,District 18,Instrument 3,0,0,0,0,0,0,0,66,52,40,43,54,255.00,21.25,0.00,66,0,0.00,0.00,118.00,137.00,0.00,0.00,39.33,45.67,0.00,0.00,255.00,36.43
Hospital 563,Region 2,District 18,Instrument 4,3,3,3,3,3,3,3,0,0,0,0,0,21.00,1.75,3.00,3,0,9.00,9.00,3.00,0.00,3.00,3.00,1.00,0.00,18.00,3.00,3.00,0.86
Hospital 563,Region 2,District 18,Instrument 6,0,0,0,0,0,0,0,9,-3,-41,48,-4,9.00,0.75,0.00,48,-41,0.00,0.00,6.00,3.00,0.00,0.00,2.00,1.00,0.00,0.00,9.00,1.29
Hospital 563,Region 2,District 18,Instrument 7,157,156,157,157,158,158,158,158,160,158,158,157,1892.00,157.67,158.00,160,156,470.00,473.00,476.00,473.00,156.67,157.67,158.67,157.67,943.00,157.17,949.00,158.14
Hospital 563,Region 2,District 20,Instrument 1,51,204,41,165,0,94,46,125,38,77,47,103,991.00,82.58,64.00,204,0,296.00,259.00,209.00,227.00,98.67,86.33,69.67,75.67,555.00,92.50,436.00,75.71
Hospital 563,Region 2,District 20,Instrument 2,682,2748,552,2228,536,1261,620,1684,504,1031,630,1395,13871.00,1155.92,856.50,2748,504,3982.00,4025.00,2808.00,3056.00,1327.33,1341.67,936.00,1018.67,8007.00,1334.50,5864.00,1017.86
Hospital 563,Region 2,District 20,Instrument 3,-2836,4594,21,1861,36,1033,156,2770,8,900,54,2271,10868.00,905.67,528.00,4594,-2836,1779.00,2930.00,2934.00,3225.00,593.00,976.67,978.00,1075.00,4709.00,784.83,6159.00,1027.43
Hospital 563,Region 2,District 20,Instrument 7,0,176,0,157,0,157,0,157,0,157,0,157,961.00,80.08,78.50,176,0,176.00,314.00,157.00,314.00,58.67,104.67,52.33,104.67,490.00,81.67,471.00,89.71
Hospital 563,Region 2,District 3,Instrument 2,824,1011,1011,1001,925,972,873,1206,781,686,1274,965,11529.00,960.75,968.50,1274,686,2846.00,2898.00,2860.00,2925.00,948.67,966.00,953.33,975.00,5744.00,957.33,5785.00,965.29
Hospital 563,Region 2,District 35,Instrument 2,16,18,120,66,162,140,0,84,84,84,84,84,942.00,78.50,84.00,162,0,154.00,368.00,168.00,252.00,51.33,122.67,56.00,84.00,522.00,87.00,420.00,80.00
Hospital 563,Region 2,District 39,Instrument 1,285,269,266,260,265,269,271,289,262,258,285,303,3282.00,273.50,269.00,303,258,820.00,794.00,822.00,846.00,273.33,264.67,274.00,282.00,1614.00,269.00,1668.00,276.71
Hospital 563,Region 2,District 39,Instrument 2,4744,4474,4436,4330,4414,4477,4505,4689,4258,4290,4746,5045,54408.00,4534.00,4475.50,5045,4258,13654.00,13221.00,13452.00,14081.00,4551.33,4407.00,4484.00,4693.67,26875.00,4479.17,27533.00,4572.86
Hospital 563,Region 2,District 39,Instrument 4,2483,1992,2189,2653,1991,1790,2683,2666,2627,2909,1487,1370,26840.00,2236.67,2336.00,2909,1370,6664.00,6434.00,7976.00,5766.00,2221.33,2144.67,2658.67,1922.00,13098.00,2183.00,13742.00,2218.86
Hospital 563,Region 2,District 8,Instrument 2,2,1,1,2,2,2,2,2,0,3,2,2,21.00,1.75,2.00,3,0,4.00,6.00,4.00,7.00,1.33,2.00,1.33,2.33,10.00,1.67,11.00,1.86
Hospital 563,Region 2,District 9,Instrument 2,68,0,121987,59650,59650,59650,59650,59650,59650,59650,59650,59650,658905.00,54908.75,59650.00,121987,0,122055.00,178950.00,178950.00,178950.00,40685.00,59650.00,59650.00,59650.00,301005.00,50167.50,357900.00,59650.00
Hospital 564,Region 1,District 18,Instrument 1,67,65,88,86,84,81,90,90,109,111,68,119,1058.00,88.17,87.00,119,65,220.00,251.00,289.00,298.00,73.33,83.67,96.33,99.33,471.00,78.50,587.00,95.43
Hospital 564,Region 1,District 18,Instrument 2,880,909,1260,1150,1175,1224,1368,1470,1698,1697,1490,1804,16125.00,1343.75,1314.00,1804,880,3049.00,3549.00,4536.00,4991.00,1016.33,1183.00,1512.00,1663.67,6598.00,1099.67,9527.00,1535.86
Hospital 564,Region 1,District 18,Instrument 3,0,0,0,0,0,0,0,-54,32,146,-6,46,164.00,13.67,0.00,146,-54,0.00,0.00,-22.00,186.00,0.00,0.00,-7.33,62.00,0.00,0.00,164.00,23.43
Hospital 564,Region 1,District 18,Instrument 4,207,172,184,205,176,257,178,0,0,0,0,0,1379.00,114.92,174.00,257,0,563.00,638.00,178.00,0.00,187.67,212.67,59.33,0.00,1201.00,200.17,178.00,62.14
Hospital 564,Region 1,District 18,Instrument 6,0,0,0,0,0,0,0,18,-7,-92,92,-7,4.00,0.33,0.00,92,-92,0.00,0.00,11.00,-7.00,0.00,0.00,3.67,-2.33,0.00,0.00,4.00,0.57
Hospital 564,Region 1,District 18,Instrument 7,0,0,0,0,0,0,0,0,0,0,0,506,506.00,42.17,0.00,506,0,0.00,0.00,0.00,506.00,0.00,0.00,0.00,168.67,0.00,0.00,506.00,72.29
Hospital 564,Region 1,District 28,Instrument 1,176,168,189,186,226,226,216,200,205,208,235,0,2235.00,186.25,202.50,235,0,533.00,638.00,621.00,443.00,177.67,212.67,207.00,147.67,1171.00,195.17,1064.00,184.29
Hospital 564,Region 1,District 28,Instrument 2,14270,9064,9965,12412,13399,15447,13252,12627,12139,14389,13713,13491,154168.00,12847.33,13325.50,15447,9064,33299.00,41258.00,38018.00,41593.00,11099.67,13752.67,12672.67,13864.33,74557.00,12426.17,79611.00,13579.71
Hospital 564,Region 1,District 28,Instrument 3,256,271,293,222,297,219,221,828,834,338,1792,1411,6982.00,581.83,295.00,1792,219,820.00,738.00,1883.00,3541.00,273.33,246.00,627.67,1180.33,1558.00,259.67,5424.00,806.14
Hospital 564,Region 1,District 28,Instrument 4,41,37,42,34,36,36,36,36,36,30,30,0,394.00,32.83,36.00,42,0,120.00,106.00,108.00,60.00,40.00,35.33,36.00,20.00,226.00,37.67,168.00,29.14
Hospital 564,Region 1,District 28,Instrument 6,-1016,811,961,-51,895,-131,-888,102,2611,377,1185,0,4856.00,404.67,239.50,2611,-1016,756.00,713.00,1825.00,1562.00,252.00,237.67,608.33,520.67,1469.00,244.83,3387.00,465.14
Hospital 564,Region 1,District 28,Instrument 7,0,0,0,0,0,0,0,874,246,246,0,246,1612.00,134.33,0.00,874,0,0.00,0.00,1120.00,492.00,0.00,0.00,373.33,164.00,0.00,0.00,1612.00,230.29
Hospital 564,Region 1,District 33,Instrument 7,0,0,0,0,0,0,0,0,0,0,3193,1695,4888.00,407.33,0.00,3193,0,0.00,0.00,0.00,4888.00,0.00,0.00,0.00,1629.33,0.00,0.00,4888.00,698.29
Hospital 564,Region 1,District 33,Instrument 8,157,136,126,125,135,135,137,60,0,0,0,0,1011.00,84.25,125.50,157,0,419.00,395.00,197.00,0.00,139.67,131.67,65.67,0.00,814.00,135.67,197.00,47.43
Hospital 564,Region 1,District 39,Instrument 1,0,0,0,0,0,0,1,1,1,1,1,1,6.00,0.50,0.50,1,0,0.00,0.00,3.00,3.00,0.00,0.00,1.00,1.00,0.00,0.00,6.00,0.86
Hospital 564,Region 1,District 39,Instrument 2,0,0,0,0,0,0,18,19,19,14,14,17,101.00,8.42,7.00,19,0,0.00,0.00,56.00,45.00,0.00,0.00,18.67,15.00,0.00,0.00,101.00,14.43
Hospital 564,Region 1,District 39,Instrument 4,0,0,0,0,0,0,1,1,1,1,1,0,5.00,0.42,0.00,1,0,0.00,0.00,3.00,2.00,0.00,0.00,1.00,0.67,0.00,0.00,5.00,0.71
Hospital 564,Region 1,District 41,Instrument 1,49,47,53,46,43,43,51,55,52,53,52,45,589.00,49.08,50.00,55,43,149.00,132.00,158.00,150.00,49.67,44.00,52.67,50.00,281.00,46.83,308.00,50.14
Hospital 564,Region 1,District 41,Instrument 2,1008,1008,1949,1095,1229,1209,1603,1580,1268,1401,1763,1128,16241.00,1353.42,1248.50,1949,1008,3965.00,3533.00,4451.00,4292.00,1321.67,1177.67,1483.67,1430.67,7498.00,1249.67,8743.00,1421.71
Hospital 564,Region 1,District 41,Instrument 3,1104,1104,1168,2403,4856,3310,3434,2352,1856,1735,2551,2779,28652.00,2387.67,2377.50,4856,1104,3376.00,10569.00,7642.00,7065.00,1125.33,3523.00,2547.33,2355.00,13945.00,2324.17,14707.00,2573.86
Hospital 564,Region 1,District 50,Instrument 5,0,0,0,0,57,57,57,0,57,57,57,57,399.00,33.25,57.00,57,0,0.00,114.00,114.00,171.00,0.00,38.00,38.00,57.00,114.00,19.00,285.00,48.86
Hospital 564,Region 1,District 50,Instrument 6,57,57,58,57,0,0,0,0,0,0,0,0,229.00,19.08,0.00,58,0,172.00,57.00,0.00,0.00,57.33,19.00,0.00,0.00,229.00,38.17,0.00,0.00
Hospital 564,Region 1,District 50,Instrument 7,0,0,0,0,0,0,0,57,0,0,0,0,57.00,4.75,0.00,57,0,0.00,0.00,57.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,57.00,8.14
Hospital 564,Region 1,District 6,Instrument 2,0,0,0,0,5561,5199,4394,3628,3754,3552,4259,4847,35194.00,2932.83,3691.00,5561,0,0.00,10760.00,11776.00,12658.00,0.00,3586.67,3925.33,4219.33,10760.00,1793.33,24434.00,4233.29
Hospital 565,Region 1,District 12,Instrument 2,406,548,302,151,430,313,538,776,293,539,297,459,5052.00,421.00,418.00,776,151,1256.00,894.00,1607.00,1295.00,418.67,298.00,535.67,431.67,2150.00,358.33,2902.00,459.29
Hospital 565,Region 1,District 13,Instrument 1,26,20,23,22,18,0,0,0,0,0,0,0,109.00,9.08,0.00,26,0,69.00,40.00,0.00,0.00,23.00,13.33,0.00,0.00,109.00,18.17,0.00,0.00
Hospital 565,Region 1,District 13,Instrument 2,2082,2198,1598,1973,2719,1744,3251,1699,1215,1628,2557,2312,24976.00,2081.33,2027.50,3251,1215,5878.00,6436.00,6165.00,6497.00,1959.33,2145.33,2055.00,2165.67,12314.00,2052.33,12662.00,2058.00
Hospital 565,Region 1,District 13,Instrument 3,60,60,73,60,60,108,187,1,38,21,43,48,759.00,63.25,60.00,187,1,193.00,228.00,226.00,112.00,64.33,76.00,75.33,37.33,421.00,70.17,338.00,63.71
Hospital 565,Region 1,District 13,Instrument 8,0,0,0,0,0,0,20,19,22,32,26,23,142.00,11.83,9.50,32,0,0.00,0.00,61.00,81.00,0.00,0.00,20.33,27.00,0.00,0.00,142.00,20.29
Hospital 565,Region 1,District 20,Instrument 1,0,68,0,102,0,109,0,65,0,-239,0,140,245.00,20.42,0.00,140,-239,68.00,211.00,65.00,-99.00,22.67,70.33,21.67,-33.00,279.00,46.50,-34.00,10.71
Hospital 565,Region 1,District 20,Instrument 2,0,913,0,1375,0,1472,0,874,0,-3233,0,1890,3291.00,274.25,0.00,1890,-3233,913.00,2847.00,874.00,-1343.00,304.33,949.00,291.33,-447.67,3760.00,626.67,-469.00,143.29
Hospital 565,Region 1,District 20,Instrument 3,0,1479,0,1480,0,1562,0,900,0,217,0,189,5827.00,485.58,94.50,1562,0,1479.00,3042.00,900.00,406.00,493.00,1014.00,300.00,135.33,4521.00,753.50,1306.00,409.71
Hospital 565,Region 1,District 20,Instrument 6,0,57,0,63,0,61,0,443,0,-443,0,0,181.00,15.08,0.00,443,-443,57.00,124.00,443.00,-443.00,19.00,41.33,147.67,-147.67,181.00,30.17,0.00,8.71
Hospital 565,Region 1,District 39,Instrument 1,0,0,0,0,0,19,25,21,24,32,32,33,186.00,15.50,20.00,33,0,0.00,19.00,70.00,97.00,0.00,6.33,23.33,32.33,19.00,3.17,167.00,26.57
Hospital 565,Region 1,District 39,Instrument 2,0,0,0,0,0,317,412,353,403,532,529,554,3100.00,258.33,335.00,554,0,0.00,317.00,1168.00,1615.00,0.00,105.67,389.33,538.33,317.00,52.83,2783.00,442.86
Hospital 565,Region 1,District 39,Instrument 4,0,0,0,0,0,57,93,23,109,28,230,113,653.00,54.42,25.50,230,0,0.00,57.00,225.00,371.00,0.00,19.00,75.00,123.67,57.00,9.50,596.00,93.29
Hospital 566,Region 1,District 25,Instrument 2,0,2460,2204,2372,1388,1549,3915,3206,2872,2407,2577,2577,27527.00,2293.92,2433.50,3915,0,4664.00,5309.00,9993.00,7561.00,1554.67,1769.67,3331.00,2520.33,9973.00,1662.17,17554.00,2729.00
Hospital 566,Region 1,District 25,Instrument 3,0,26,26,26,26,26,17,17,17,26,0,0,207.00,17.25,21.50,26,0,52.00,78.00,51.00,26.00,17.33,26.00,17.00,8.67,130.00,21.67,77.00,14.71
Hospital 566,Region 1,District 28,Instrument 1,79,69,89,60,76,83,83,73,65,65,77,0,819.00,68.25,74.50,89,0,237.00,219.00,221.00,142.00,79.00,73.00,73.67,47.33,456.00,76.00,363.00,63.71
Hospital 566,Region 1,District 28,Instrument 2,7429,3345,3361,3991,4203,3836,4042,3808,3340,3032,4247,4706,49340.00,4111.67,3913.50,7429,3032,14135.00,12030.00,11190.00,11985.00,4711.67,4010.00,3730.00,3995.00,26165.00,4360.83,23175.00,3858.71
Hospital 566,Region 1,District 28,Instrument 3,50,54,53,53,72,53,53,53,53,55,56,56,661.00,55.08,53.00,72,50,157.00,178.00,159.00,167.00,52.33,59.33,53.00,55.67,335.00,55.83,326.00,54.14
Hospital 566,Region 1,District 28,Instrument 6,-490,-351,-24,-87,99,-129,113,62,-15,-82,27,0,-877.00,-73.08,-19.50,113,-490,-865.00,-117.00,160.00,-55.00,-288.33,-39.00,53.33,-18.33,-982.00,-163.67,105.00,-3.43
Hospital 566,Region 1,District 41,Instrument 3,57,57,126,62,57,86,81,62,71,57,57,52,825.00,68.75,59.50,126,52,240.00,205.00,214.00,166.00,80.00,68.33,71.33,55.33,445.00,74.17,380.00,66.57
Hospital 567,Region 5,District 25,Instrument 2,0,0,0,0,0,0,0,0,0,0,20,20,40.00,3.33,0.00,20,0,0.00,0.00,0.00,40.00,0.00,0.00,0.00,13.33,0.00,0.00,40.00,5.71
