Hospital_ID,District_ID,Instrument_ID,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Year Total,Year Average,Year Median,Max Year,Min Year,First Quarter Sum,Second Quarter Sum,Third Quarter Sum,Fourth Quarter Sum,First Quarter Avg,Second Quarter Avg,Third Quarter Avg,Fourth Quarter Avg,First Half Year Total,First Half Year Average,Second Half Year Total,Second Half Year Average,Hospital_employees,Annual_Projected_Revenue,Buy_or_not
Hospital 1,District 28,Instrument 3,60,60,60,60,60,62,57,45,59,45,45,45,658,54.83,59.5,62,45,180,182,161,135,60,60.67,53.67,45,362,296,60.33,51.14,34,0,0
Hospital 1,District 28,Instrument 4,82,81,82,82,69,72,70,71,62,62,68,0,801,66.75,70.5,82,0,245,223,203,130,81.67,74.33,67.67,43.33,468,333,78,57.86,34,0,0
Hospital 1,District 28,Instrument 5,3,3,3,3,3,3,3,3,-1,0,0,0,23,1.92,3,3,-1,9,9,5,0,3,3,1.67,0,18,5,3,1.14,34,0,0
Hospital 1,District 28,Instrument 6,-222,-9,16,-31,-3,-17,-86,-9,-8,19,-26,0,-376,-31.33,-9,19,-222,-215,-51,-103,-7,-71.67,-17,-34.33,-2.33,-266,-110,-44.33,-18.14,34,0,0
Hospital 1,District 35,Instrument 2,82,60,1635,1253,1176,1254,1683,1177,1177,1177,1177,1177,13028,1085.67,1177,1683,60,1777,3683,4037,3531,592.33,1227.67,1345.67,1177,5460,7568,910,1260.29,9,0,0
Hospital 1,District 37,Instrument 2,3779,5397,4405,6334,5903,5962,5301,4842,3715,4398,3460,3874,57370,4780.83,4623.5,6334,3460,13581,18199,13858,11732,4527,6066.33,4619.33,3910.67,31780,25590,5296.67,4507.43,3,0,0
Hospital 1,District 37,Instrument 3,146,208,180,263,179,168,159,181,166,166,166,178,2160,180,173,263,146,534,610,506,510,178,203.33,168.67,170,1144,1016,190.67,169.14,3,0,0
Hospital 1,District 37,Instrument 4,32,32,32,32,32,32,14,15,15,15,15,15,281,23.42,23.5,32,14,96,96,44,45,32,32,14.67,15,192,89,32,17.29,3,0,0
Hospital 1,District 4,Instrument 2,177,267,249,223,240,238,321,251,227,266,260,56,2775,231.25,244.5,321,56,693,701,799,582,231,233.67,266.33,194,1394,1381,232.33,231.29,1,0,0
Hospital 1,District 41,Instrument 1,57,56,62,38,49,49,49,55,55,52,61,56,639,53.25,55,62,38,175,136,159,169,58.33,45.33,53,56.33,311,328,51.83,53.86,83,0,0
Hospital 1,District 41,Instrument 5,52,65,52,52,52,39,52,33,33,33,33,33,529,44.08,45.5,65,33,169,143,118,99,56.33,47.67,39.33,33,312,217,52,36.57,83,0,0
Hospital 1,District 5,Instrument 2,3422,2577,2576,2351,2292,2161,3368,3517,3441,3575,3373,3239,35892,2991,3303.5,3575,2161,8575,6804,10326,10187,2858.33,2268,3442,3395.67,15379,20513,2563.17,3239.14,18,0,0
Hospital 10,District 18,Instrument 1,276,270,306,290,289,257,251,253,318,235,201,190,3136,261.33,263.5,318,190,852,836,822,626,284,278.67,274,208.67,1688,1448,281.33,243.57,269,0,0
Hospital 10,District 18,Instrument 2,2645,2659,3014,2830,2777,2732,2573,2531,2634,2583,2410,2459,31847,2653.92,2639.5,3014,2410,8318,8339,7738,7452,2772.67,2779.67,2579.33,2484,16657,15190,2776.17,2560.29,269,0,0
Hospital 10,District 18,Instrument 3,0,0,0,0,0,0,0,67,854,-51,157,23,1050,87.5,0,854,-51,0,0,921,129,0,0,307,43,0,1050,0,150,269,0,0
Hospital 10,District 18,Instrument 4,297,275,261,240,213,182,233,0,0,0,0,0,1701,141.75,197.5,297,0,833,635,233,0,277.67,211.67,77.67,0,1468,233,244.67,59.29,269,0,0
Hospital 10,District 18,Instrument 6,0,0,0,0,0,0,0,32,-13,-127,159,-10,41,3.42,0,159,-127,0,0,19,22,0,0,6.33,7.33,0,41,0,5.86,269,0,0
Hospital 10,District 18,Instrument 7,54,54,55,55,55,54,54,54,54,54,54,54,651,54.25,54,55,54,163,164,162,162,54.33,54.67,54,54,327,324,54.5,54,269,0,0
Hospital 100,District 32,Instrument 1,0,0,0,0,9,9,6,6,7,7,9,7,60,5,6.5,9,0,0,18,19,23,0,6,6.33,7.67,18,42,3,7.29,4,0,0
Hospital 100,District 32,Instrument 2,178,131,92,207,116,125,194,163,96,200,80,147,1729,144.08,139,207,80,401,448,453,427,133.67,149.33,151,142.33,849,880,141.5,143.57,4,0,0
Hospital 100,District 32,Instrument 5,3,3,3,3,3,3,3,3,3,5,13,9,54,4.5,3,13,3,9,9,9,27,3,3,3,9,18,36,3,5.57,4,0,0
Hospital 1000,District 16,Instrument 2,7,7,7,7,7,7,7,7,7,7,7,7,84,7,7,7,7,21,21,21,21,7,7,7,7,42,42,7,7,820,0,0
Hospital 1000,District 18,Instrument 1,28,35,30,48,27,60,48,35,49,30,36,29,455,37.92,35,60,27,93,135,132,95,31,45,44,31.67,228,227,38,41,209,0,0
Hospital 1000,District 18,Instrument 2,309,347,263,453,244,805,534,462,656,471,701,628,5873,489.42,466.5,805,244,919,1502,1652,1800,306.33,500.67,550.67,600,2421,3452,403.5,608.14,209,0,0
Hospital 1000,District 18,Instrument 3,0,0,0,0,0,0,0,102,128,52,119,97,498,41.5,0,128,0,0,0,230,268,0,0,76.67,89.33,0,498,0,71.14,209,0,0
Hospital 1000,District 18,Instrument 4,138,209,190,265,159,214,223,0,0,0,0,0,1398,116.5,148.5,265,0,537,638,223,0,179,212.67,74.33,0,1175,223,195.83,62.43,209,0,0
Hospital 1000,District 18,Instrument 6,0,0,0,0,0,0,0,7,-3,-25,50,-3,26,2.17,0,50,-25,0,0,4,22,0,0,1.33,7.33,0,26,0,3.71,209,0,0
Hospital 1000,District 28,Instrument 1,16,15,16,13,17,20,15,17,12,14,19,0,174,14.5,15.5,20,0,47,50,44,33,15.67,16.67,14.67,11,97,77,16.17,13.86,31,0,0
Hospital 1000,District 28,Instrument 2,1003,618,1585,1010,1099,1283,1125,1053,1036,956,1021,1332,13121,1093.42,1044.5,1585,618,3206,3392,3214,3309,1068.67,1130.67,1071.33,1103,6598,6523,1099.67,1115.14,31,0,0
Hospital 1000,District 28,Instrument 3,16,16,16,16,16,16,16,16,16,16,16,16,192,16,16,16,16,48,48,48,48,16,16,16,16,96,96,16,16,31,0,0
Hospital 1000,District 28,Instrument 4,198,194,176,211,201,209,187,194,192,199,197,0,2158,179.83,195.5,211,0,568,621,573,396,189.33,207,191,132,1189,969,198.17,168.29,31,0,0
Hospital 1000,District 28,Instrument 6,1,-30,39,-15,30,44,-14,-33,-30,-7,-19,0,-34,-2.83,-10.5,44,-33,10,59,-77,-26,3.33,19.67,-25.67,-8.67,69,-103,11.5,-8.43,31,0,0
Hospital 1000,District 37,Instrument 2,862,999,995,1186,1400,1159,1864,1520,1469,1867,2200,1274,16795,1399.58,1337,2200,862,2856,3745,4853,5341,952,1248.33,1617.67,1780.33,6601,10194,1100.17,1621.86,121,0,0
Hospital 1000,District 37,Instrument 3,376,694,592,1580,652,289,528,344,730,539,1255,828,8407,700.58,622,1580,289,1662,2521,1602,2622,554,840.33,534,874,4183,4224,697.17,644.71,121,0,0
Hospital 1000,District 37,Instrument 4,536,596,541,642,715,566,697,561,610,602,566,699,7331,610.92,599,715,536,1673,1923,1868,1867,557.67,641,622.67,622.33,3596,3735,599.33,614.43,121,0,0
Hospital 1000,District 45,Instrument 2,0,0,0,0,0,0,0,0,1,5,6,4,16,1.33,0,6,0,0,0,1,15,0,0,0.33,5,0,16,0,2.29,30,0,0
Hospital 1001,District 12,Instrument 2,1047,1347,659,338,1303,1067,973,761,630,821,666,841,10453,871.08,831,1347,338,3053,2708,2364,2328,1017.67,902.67,788,776,5761,4692,960.17,822.71,97,0,0
Hospital 1001,District 12,Instrument 3,22,37,22,22,22,22,21,22,22,22,22,0,256,21.33,22,37,0,81,66,65,44,27,22,21.67,14.67,147,109,24.5,18.71,97,0,0
Hospital 1001,District 13,Instrument 1,79,76,81,89,83,0,0,0,0,0,0,0,408,34,0,89,0,236,172,0,0,78.67,57.33,0,0,408,0,68,0,1288,0,0
Hospital 1001,District 13,Instrument 3,782,1050,604,537,917,1539,2374,2174,848,2542,3140,3982,20489,1707.42,1294.5,3982,537,2436,2993,5396,9664,812,997.67,1798.67,3221.33,5429,15060,904.83,2371.29,1288,0,0
Hospital 1001,District 13,Instrument 4,5788,5829,5563,6581,5309,0,0,0,0,0,0,0,29070,2422.5,0,6581,0,17180,11890,0,0,5726.67,3963.33,0,0,29070,0,4845,0,1288,0,0
Hospital 1001,District 13,Instrument 8,0,0,0,0,0,0,103,89,104,84,89,139,608,50.67,42,139,0,0,0,296,312,0,0,98.67,104,0,608,0,86.86,1288,0,0
Hospital 1001,District 20,Instrument 1,0,11,0,13,0,16,0,14,0,13,0,12,79,6.58,5.5,16,0,11,29,14,25,3.67,9.67,4.67,8.33,40,39,6.67,7.86,6,0,0
Hospital 1001,District 20,Instrument 2,0,140,0,179,0,217,0,184,0,171,0,165,1056,88,70,217,0,140,396,184,336,46.67,132,61.33,112,536,520,89.33,105.29,6,0,0
Hospital 1001,District 35,Instrument 2,33,19,212,149,159,187,181,151,151,151,151,151,1695,141.25,151,212,19,264,495,483,453,88,165,161,151,759,936,126.5,160.43,54,0,0
Hospital 1001,District 41,Instrument 1,6,6,7,5,5,5,6,5,5,5,4,4,63,5.25,5,7,4,19,15,16,13,6.33,5,5.33,4.33,34,29,5.67,4.86,42,0,0
Hospital 1001,District 41,Instrument 5,119,165,137,113,81,91,109,105,89,128,128,84,1349,112.42,111,165,81,421,285,303,340,140.33,95,101,113.33,706,643,117.67,104.86,42,0,0
Hospital 1001,District 41,Instrument 8,0,0,0,68,0,0,0,0,0,0,0,0,68,5.67,0,68,0,0,68,0,0,0,22.67,0,0,68,0,11.33,0,42,0,0
Hospital 1001,District 44,Instrument 2,161,139,108,122,176,177,172,159,167,170,183,163,1897,158.08,165,183,108,408,475,498,516,136,158.33,166,172,883,1014,147.17,170.14,9,0,0
Hospital 1001,District 44,Instrument 3,60,71,69,56,0,0,0,0,0,0,0,0,256,21.33,0,71,0,200,56,0,0,66.67,18.67,0,0,256,0,42.67,0,9,0,0
Hospital 1001,District 44,Instrument 7,677,701,706,709,708,445,715,687,705,676,708,670,8107,675.58,703,715,445,2084,1862,2107,2054,694.67,620.67,702.33,684.67,3946,4161,657.67,658,9,0,0
Hospital 1002,District 39,Instrument 1,0,0,0,0,0,0,0,0,0,190,238,0,428,35.67,0,238,0,0,0,0,428,0,0,0,142.67,0,428,0,61.14,238,0,0
Hospital 1002,District 39,Instrument 2,0,0,0,0,0,0,0,0,0,3144,3937,0,7081,590.08,0,3937,0,0,0,0,7081,0,0,0,2360.33,0,7081,0,1011.57,238,0,0
Hospital 1002,District 39,Instrument 4,0,0,0,0,0,0,0,0,0,1063,1193,0,2256,188,0,1193,0,0,0,0,2256,0,0,0,752,0,2256,0,322.29,238,0,0
Hospital 1002,District 39,Instrument 7,0,0,0,0,0,0,0,0,0,0,0,180,180,15,0,180,0,0,0,0,180,0,0,0,60,0,180,0,25.71,238,0,0
Hospital 1003,District 10,Instrument 1,277,276,264,289,221,269,233,262,243,143,811,321,3609,300.75,266.5,811,143,817,779,738,1275,272.33,259.67,246,425,1596,2013,266,326,857,0,0
Hospital 1003,District 10,Instrument 3,1185,1402,1099,1918,962,1829,2107,1015,1975,998,1505,2344,18339,1528.25,1453.5,2344,962,3686,4709,5097,4847,1228.67,1569.67,1699,1615.67,8395,9944,1399.17,1681.86,857,0,0
Hospital 1003,District 10,Instrument 4,175,160,156,152,141,121,128,123,123,124,123,131,1657,138.08,129.5,175,121,491,414,374,378,163.67,138,124.67,126,905,752,150.83,124.71,857,0,0
Hospital 1003,District 10,Instrument 6,641,703,541,594,1251,367,382,562,582,451,368,418,6860,571.67,551.5,1251,367,1885,2212,1526,1237,628.33,737.33,508.67,412.33,4097,2763,682.83,447.14,857,0,0
Hospital 1003,District 10,Instrument 7,183,182,182,182,180,185,185,185,185,185,185,272,2291,190.92,185,272,180,547,547,555,642,182.33,182.33,185,214,1094,1197,182.33,197.43,857,0,0
Hospital 1003,District 12,Instrument 2,0,0,0,0,0,0,0,0,110,21,41,0,172,14.33,0,110,0,0,0,110,62,0,0,36.67,20.67,0,172,0,24.57,154,0,0
Hospital 1003,District 12,Instrument 3,0,0,0,0,0,0,0,0,11,11,11,0,33,2.75,0,11,0,0,0,11,22,0,0,3.67,7.33,0,33,0,4.71,154,0,0
Hospital 1003,District 13,Instrument 2,32,34,30,32,32,39,39,38,52,41,45,45,459,38.25,38.5,52,30,96,103,129,131,32,34.33,43,43.67,199,260,33.17,42.71,196,0,0
Hospital 1003,District 13,Instrument 3,0,0,0,0,0,2,2,2,2,2,2,0,12,1,1,2,0,0,2,6,4,0,0.67,2,1.33,2,10,0.33,1.71,196,0,0
Hospital 1003,District 13,Instrument 4,7,8,8,8,7,0,0,0,0,0,0,0,38,3.17,0,8,0,23,15,0,0,7.67,5,0,0,38,0,6.33,0,196,0,0
Hospital 1003,District 14,Instrument 2,222,212,634,168,388,311,426,395,0,0,0,0,2756,229.67,217,634,0,1068,867,821,0,356,289,273.67,0,1935,821,322.5,161.71,40,0,0
Hospital 1003,District 14,Instrument 5,657,876,672,813,688,0,0,0,0,0,0,0,3706,308.83,0,876,0,2205,1501,0,0,735,500.33,0,0,3706,0,617.67,0,40,0,0
Hospital 1003,District 14,Instrument 7,0,0,0,0,0,677,671,688,1151,1299,1264,782,6532,544.33,674,1299,0,0,677,2510,3345,0,225.67,836.67,1115,677,5855,112.83,933.14,40,0,0
Hospital 1003,District 16,Instrument 2,20,20,20,20,20,20,0,0,0,0,0,0,120,10,10,20,0,60,60,0,0,20,20,0,0,120,0,20,2.86,616,0,0
Hospital 1003,District 18,Instrument 1,1259,1540,1594,1268,1274,1177,1084,1189,1108,1134,897,979,14503,1208.58,1183,1594,897,4393,3719,3381,3010,1464.33,1239.67,1127,1003.33,8112,6391,1352,1081.14,4477,0,0
Hospital 1003,District 18,Instrument 4,1552,844,656,348,252,205,163,0,0,0,0,0,4020,335,184,1552,0,3052,805,163,0,1017.33,268.33,54.33,0,3857,163,642.83,52.57,4477,0,0
Hospital 1003,District 18,Instrument 6,0,0,0,0,0,0,0,200,-55,-831,1006,-73,247,20.58,0,1006,-831,0,0,145,102,0,0,48.33,34,0,247,0,35.29,4477,0,0
Hospital 1003,District 19,Instrument 1,53,24,28,28,31,0,0,0,0,0,0,0,164,13.67,0,53,0,105,59,0,0,35,19.67,0,0,164,0,27.33,0,11,0,0
Hospital 1003,District 20,Instrument 1,11,287,0,234,0,373,0,351,0,346,3,339,1944,162,122.5,373,0,298,607,351,688,99.33,202.33,117,229.33,905,1039,150.83,201.71,127,0,0
Hospital 1003,District 20,Instrument 6,0,6,0,6,0,-278,0,1127,0,6,0,891,1758,146.5,0,1127,-278,6,-272,1127,897,2,-90.67,375.67,299,-266,2024,-44.33,249.43,127,0,0
Hospital 1003,District 20,Instrument 7,0,79,0,197,0,201,0,201,0,201,1,79,959,79.92,40,201,0,79,398,201,281,26.33,132.67,67,93.67,477,482,79.5,97.57,127,0,0
Hospital 1003,District 21,Instrument 2,1333,2596,2349,1572,2105,2700,830,540,684,414,907,553,16583,1381.92,1120,2700,414,6278,6377,2054,1874,2092.67,2125.67,684.67,624.67,12655,3928,2109.17,946.86,18,0,0
Hospital 1003,District 21,Instrument 3,0,0,0,0,0,0,753,767,670,652,631,474,3947,328.92,237,767,0,0,0,2190,1757,0,0,730,585.67,0,3947,0,563.86,18,0,0
Hospital 1003,District 21,Instrument 6,0,0,0,0,0,0,81,408,53,852,33,46,1473,122.75,16.5,852,0,0,0,542,931,0,0,180.67,310.33,0,1473,0,210.43,18,0,0
Hospital 1003,District 27,Instrument 1,57,31,98,18,42,66,63,30,34,22,37,23,521,43.42,35.5,98,18,186,126,127,82,62,42,42.33,27.33,312,209,52,39.29,13,0,0
Hospital 1003,District 27,Instrument 2,1338,848,2025,2600,3457,1645,4011,1672,1921,2458,2195,1744,25914,2159.5,1973,4011,848,4211,7702,7604,6397,1403.67,2567.33,2534.67,2132.33,11913,14001,1985.5,2235.14,13,0,0
Hospital 1003,District 28,Instrument 1,992,739,850,722,840,862,772,766,745,682,805,0,8775,731.25,769,992,0,2581,2424,2283,1487,860.33,808,761,495.67,5005,3770,834.17,661.71,1654,0,0
Hospital 1003,District 28,Instrument 6,1344,23,339,4413,5364,6907,5386,5308,4597,4625,6866,0,45172,3764.33,4611,6907,0,1706,16684,15291,11491,568.67,5561.33,5097,3830.33,18390,26782,3065,4812.71,1654,0,0
Hospital 1003,District 33,Instrument 2,0,2,2,2,3,3,11,3,2,2,0,68,98,8.17,2,68,0,4,8,16,70,1.33,2.67,5.33,23.33,12,86,2,12.71,190,0,0
Hospital 1003,District 33,Instrument 3,0,0,0,0,0,0,1,0,0,0,0,0,1,0.08,0,1,0,0,0,1,0,0,0,0.33,0,0,1,0,0.14,190,0,0
Hospital 1003,District 33,Instrument 7,0,0,0,0,0,0,1310,1310,1310,1310,1204,1216,7660,638.33,602,1310,0,0,0,3930,3730,0,0,1310,1243.33,0,7660,0,1094.29,190,0,0
Hospital 1003,District 34,Instrument 1,27,31,31,25,28,27,28,27,27,27,32,30,340,28.33,27.5,32,25,89,80,82,89,29.67,26.67,27.33,29.67,169,171,28.17,28.29,36,0,0
Hospital 1003,District 34,Instrument 5,43,43,-2,1,1,31,32,31,99,86,84,86,535,44.58,37.5,99,-2,84,33,162,256,28,11,54,85.33,117,418,19.5,64.14,36,0,0
Hospital 1003,District 35,Instrument 2,90,123,694,515,595,702,16,441,441,441,441,441,4940,411.67,441,702,16,907,1812,898,1323,302.33,604,299.33,441,2719,2221,453.17,417.57,92,0,0
Hospital 1003,District 37,Instrument 2,4,4,4,4,4,4,4,4,4,4,4,4,48,4,4,4,4,12,12,12,12,4,4,4,4,24,24,4,4,163,0,0
Hospital 1003,District 37,Instrument 3,4,4,4,4,4,4,4,4,4,4,4,4,48,4,4,4,4,12,12,12,12,4,4,4,4,24,24,4,4,163,0,0
Hospital 1003,District 38,Instrument 2,283,310,310,0,567,267,288,332,267,301,379,306,3610,300.83,303.5,567,0,903,834,887,986,301,278,295.67,328.67,1737,1873,289.5,305.71,8,0,0
Hospital 1003,District 39,Instrument 1,781,870,899,1041,900,844,836,804,808,797,805,795,10180,848.33,822,1041,781,2550,2785,2448,2397,850,928.33,816,799,5335,4845,889.17,812.71,28,0,0
Hospital 1003,District 39,Instrument 4,2236,2716,2029,1947,1868,1725,1780,1441,3293,1499,1518,982,23034,1919.5,1824,3293,982,6981,5540,6514,3999,2327,1846.67,2171.33,1333,12521,10513,2086.83,1748.29,28,0,0
Hospital 1003,District 39,Instrument 7,2749,2598,2765,556,2775,2939,2832,260,3030,2999,3001,3139,29643,2470.25,2803.5,3139,260,8112,6270,6122,9139,2704,2090,2040.67,3046.33,14382,15261,2397,2600,28,0,0
Hospital 1003,District 4,Instrument 2,3546,3066,3647,3449,3398,3892,3755,4036,3673,3851,3137,3123,42573,3547.75,3596.5,4036,3066,10259,10739,11464,10111,3419.67,3579.67,3821.33,3370.33,20998,21575,3499.67,3638.14,110,0,0
Hospital 1003,District 41,Instrument 1,45,42,42,37,33,33,38,47,37,41,44,40,479,39.92,40.5,47,33,129,103,122,125,43,34.33,40.67,41.67,232,247,38.67,40,1400,0,0
Hospital 1003,District 41,Instrument 2,699,1324,1327,1373,1379,1346,1320,1316,1329,1299,1315,1342,15369,1280.75,1325.5,1379,699,3350,4098,3965,3956,1116.67,1366,1321.67,1318.67,7448,7921,1241.33,1323.86,1400,0,0
Hospital 1003,District 41,Instrument 3,666,666,634,714,790,644,634,668,628,622,690,620,7976,664.67,655,790,620,1966,2148,1930,1932,655.33,716,643.33,644,4114,3862,685.67,643.71,1400,0,0
Hospital 1003,District 41,Instrument 5,1248,887,784,269,220,582,585,566,572,604,604,689,7610,634.17,594.5,1248,220,2919,1071,1723,1897,973,357,574.33,632.33,3990,3620,665,600.29,1400,0,0
Hospital 1003,District 41,Instrument 8,68,68,68,0,68,36,0,0,0,0,0,0,308,25.67,0,68,0,204,104,0,0,68,34.67,0,0,308,0,51.33,5.14,1400,0,0
Hospital 1003,District 44,Instrument 2,1793,1471,1219,1230,1661,1514,1629,1208,1147,1436,1529,1703,17540,1461.67,1492.5,1793,1147,4483,4405,3984,4668,1494.33,1468.33,1328,1556,8888,8652,1481.33,1452.29,4900,0,0
Hospital 1003,District 44,Instrument 3,552,541,442,343,0,0,0,0,0,0,0,0,1878,156.5,0,552,0,1535,343,0,0,511.67,114.33,0,0,1878,0,313,0,4900,0,0
Hospital 1003,District 44,Instrument 7,855,809,884,664,-321,288,686,644,685,672,677,684,7227,602.25,680.5,884,-321,2548,631,2015,2033,849.33,210.33,671.67,677.67,3179,4048,529.83,619.43,4900,0,0
Hospital 1003,District 46,Instrument 2,10,10,29,10,10,0,0,0,0,0,0,0,69,5.75,0,29,0,49,20,0,0,16.33,6.67,0,0,69,0,11.5,0,40,0,0
Hospital 1003,District 46,Instrument 3,0,0,15,0,0,8,8,8,8,8,8,8,71,5.92,8,15,0,15,8,24,24,5,2.67,8,8,23,48,3.83,8,40,0,0
Hospital 1003,District 48,Instrument 1,200,138,138,130,250,227,365,278,271,225,177,115,2514,209.5,212.5,365,115,476,607,914,517,158.67,202.33,304.67,172.33,1083,1431,180.5,236.86,67,0,0
Hospital 1003,District 48,Instrument 2,688,838,773,704,770,1854,930,822,897,1255,821,1029,11381,948.42,830,1854,688,2299,3328,2649,3105,766.33,1109.33,883,1035,5627,5754,937.83,1086.86,67,0,0
Hospital 1003,District 48,Instrument 3,247,143,187,428,524,0,0,0,0,0,0,0,1529,127.42,0,524,0,577,952,0,0,192.33,317.33,0,0,1529,0,254.83,0,67,0,0
Hospital 1003,District 49,Instrument 2,2276,404,590,328,410,353,205,191,212,226,283,289,5767,480.58,308.5,2276,191,3270,1091,608,798,1090,363.67,202.67,266,4361,1406,726.83,251.29,27,0,0
Hospital 1003,District 5,Instrument 2,1258,1061,1061,1108,1156,1020,1239,911,817,1163,846,999,12639,1053.25,1061,1258,817,3380,3284,2967,3008,1126.67,1094.67,989,1002.67,6664,5975,1110.67,999.29,9,0,0
Hospital 1003,District 6,Instrument 2,0,0,0,0,1001,1223,726,1035,1205,1354,1388,651,8583,715.25,863.5,1388,0,0,2224,2966,3393,0,741.33,988.67,1131,2224,6359,370.67,1083.14,123,0,0
Hospital 1003,District 9,Instrument 2,139256,134446,123388,142908,142908,142908,142908,142908,142908,142908,142908,142908,1683262,140271.83,142908,142908,123388,397090,428724,428724,428724,132363.33,142908,142908,142908,825814,857448,137635.67,142908,1578,0,0
Hospital 1004,District 17,Instrument 1,11030,12250,11469,11396,12013,12168,11201,11987,11470,10748,12151,4566,132449,11037.42,11469.5,12250,4566,34749,35577,34658,27465,11583,11859,11552.67,9155,70326,62123,11721,10613,1789,0,0
Hospital 1004,District 17,Instrument 3,171,203,189,183,58123,0,0,0,0,0,0,0,58869,4905.75,0,58123,0,563,58306,0,0,187.67,19435.33,0,0,58869,0,9811.5,0,1789,0,0
Hospital 1004,District 17,Instrument 4,98,67,70,71,55,0,0,0,0,0,0,0,361,30.08,0,98,0,235,126,0,0,78.33,42,0,0,361,0,60.17,0,1789,0,0
Hospital 1004,District 17,Instrument 8,339,320,419,373,394,0,0,0,0,0,0,0,1845,153.75,0,419,0,1078,767,0,0,359.33,255.67,0,0,1845,0,307.5,0,1789,0,0
Hospital 1004,District 20,Instrument 1,2,0,2,0,0,0,3,0,3,0,2,0,12,1,0,3,0,4,0,6,2,1.33,0,2,0.67,4,8,0.67,1.14,288,0,0
Hospital 1004,District 20,Instrument 2,23,0,25,0,29,0,40,0,34,0,28,0,179,14.92,11.5,40,0,48,29,74,28,16,9.67,24.67,9.33,77,102,12.83,14.57,288,0,0
Hospital 1004,District 20,Instrument 6,0,0,0,0,0,0,0,0,33,0,0,0,33,2.75,0,33,0,0,0,33,0,0,0,11,0,0,33,0,4.71,288,0,0
Hospital 1004,District 3,Instrument 2,2209,929,929,1696,1585,1647,1657,1652,1593,1637,1751,1656,18941,1578.42,1649.5,2209,929,4067,4928,4902,5044,1355.67,1642.67,1634,1681.33,8995,9946,1499.17,1656.14,27,0,0
Hospital 1004,District 38,Instrument 2,445,463,463,409,403,413,459,406,368,360,373,397,4959,413.25,407.5,463,360,1371,1225,1233,1130,457,408.33,411,376.67,2596,2363,432.67,396.57,47,0,0
