Hospital_ID,Region_ID,District_ID,Instrument_ID,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Year Total,Year Average,Year Median,Max Year,Min Year,First Quarter Sum,Second Quarter Sum,Third Quarter Sum,Fourth Quarter Sum,First Quarter Avg,Second Quarter Avg,Third Quarter Avg,Fourth Quarter Avg,First Half Year Total,First Half Year Average,Second Half Year Total,Second Half Year Average,Hospital_employees,Annual_Projected_Revenue,Buy_or_not
Hospital 1004,Region 3,District 17,Instrument 2,56156,58541,57522,59641,1384,56901,46440,60351,60680,58442,59824,56149,632031,52669.25,57982,60680,1384,172219,117926,167471,174415,57406.33,39308.67,55823.67,58138.33,290145,341886,48357.5,56969.57,1789,218872,1
Hospital 1004,Region 3,District 20,Instrument 3,0,32,5,32,26,32,30,32,21,32,19,32,293,24.42,31,32,0,37,90,83,83,12.33,30,27.67,27.67,127,166,21.17,28.29,288,552,1
Hospital 1006,Region 3,District 10,Instrument 7,10,7,6,6,0,6,6,6,6,6,0,0,59,4.92,6,10,0,23,12,18,6,7.67,4,6,2,35,24,5.83,4.29,1495.3333,30337,1
Hospital 1006,Region 3,District 12,Instrument 2,17072,17144,17966,14263,15542,17000,15478,15488,13297,18985,13981,15693,191909,15992.42,15617.5,18985,13297,52182,46805,44263,48659,17394,15601.67,14754.33,16219.67,98987,92922,16497.83,15703.14,1738,229343,1
Hospital 1006,Region 3,District 13,Instrument 2,22495,32560,33659,33137,6938,33775,31123,50202,30338,19413,29746,31291,354677,29556.42,31207,50202,6938,88714,73850,111663,80450,29571.33,24616.67,37221,26816.67,162564,192113,27094,32269.71,1229,609207,1
Hospital 1006,Region 3,District 13,Instrument 3,3004,3053,3050,3019,2945,-1254,1714,795,249,222,1255,988,19040,1586.67,1484.5,3053,-1254,9107,4710,2758,2465,3035.67,1570,919.33,821.67,13817,5223,2302.83,567,1229,97092,1
Hospital 1006,Region 3,District 15,Instrument 2,-705,-2600,-674,-3595,6391,5735,5451,-35979,5474,4978,3154,5287,-7083,-590.25,4066,6391,-35979,-3979,8531,-25054,13419,-1326.33,2843.67,-8351.33,4473,4552,-11635,758.67,-842.86,295,56064,1
Hospital 1006,Region 3,District 15,Instrument 5,238,238,238,238,0,0,0,0,0,0,0,0,952,79.33,0,238,0,714,238,0,0,238,79.33,0,0,952,0,158.67,0,295,4500,1
Hospital 1006,Region 3,District 19,Instrument 2,3765,3789,-2114,3496,3576,4147,3426,3687,3746,5511,3720,3555,40304,3358.67,3703.5,5511,-2114,5440,11219,10859,12786,1813.33,3739.67,3619.67,4262,16659,23645,2776.5,3970.29,490,66360,1
Hospital 1006,Region 3,District 20,Instrument 2,7457,0,7390,0,6003,0,7357,0,6553,0,7005,0,41765,3480.42,3001.5,7457,0,14847,6003,13910,7005,4949,2001,4636.67,2335,20850,20915,3475,2987.86,416,102430,1
Hospital 1006,Region 3,District 28,Instrument 2,6585,5976,7111,2842,4896,6157,4059,4714,5832,4640,5605,4799,63216,5268,5250.5,7111,2842,19672,13895,14605,15044,6557.33,4631.67,4868.33,5014.67,33567,29649,5594.5,5115.14,20,24824,1
Hospital 1006,Region 3,District 28,Instrument 3,69,69,69,69,69,69,69,69,69,166,153,153,1093,91.08,69,166,69,207,207,207,472,69,69,69,157.33,414,679,69,106.86,20,9030,1
Hospital 1006,Region 3,District 3,Instrument 2,5810,5926,5926,6026,5371,6386,5724,5106,4893,2878,5989,5163,65198,5433.17,5767,6386,2878,17662,17783,15723,14030,5887.33,5927.67,5241,4676.67,35445,29753,5907.5,5162.71,243,110746,1
Hospital 1006,Region 3,District 34,Instrument 2,1454,1737,1498,1372,1484,-6514,1194,1411,2265,2327,1899,2408,12535,1044.58,1491,2408,-6514,4689,-3658,4870,6634,1563,-1219.33,1623.33,2211.33,1031,11504,171.83,712.86,89,4800,1
Hospital 1006,Region 3,District 34,Instrument 3,292,533,425,450,488,304,378,378,368,312,331,330,4589,382.42,373,533,292,1250,1242,1124,973,416.67,414,374.67,324.33,2492,2097,415.33,343,89,8772,1
Hospital 1006,Region 3,District 41,Instrument 2,-3134,-7424,4632,3893,2121,4722,4665,3998,3073,4257,3740,3772,28315,2359.58,3832.5,4722,-7424,-5926,10736,11736,11769,-1975.33,3578.67,3912,3923,4810,23505,801.67,4032.43,28,3540,1
Hospital 1006,Region 3,District 41,Instrument 3,5344,5344,4648,4409,4427,4209,4164,4080,4086,4149,4099,4139,53098,4424.83,4186.5,5344,4080,15336,13045,12330,12387,5112,4348.33,4110,4129,28381,24717,4730.17,4132.29,28,2834,1
Hospital 1007,Region 2,District 20,Instrument 2,1603,347,1453,370,1559,553,1835,359,1801,399,1857,484,12620,1051.67,1003,1857,347,3403,2482,3995,2740,1134.33,827.33,1331.67,913.33,5885,6735,980.83,1041.14,260,2009,1
Hospital 1007,Region 2,District 20,Instrument 3,857,286,984,282,601,429,654,187,957,216,1185,226,6864,572,515,1185,187,2127,1312,1798,1627,709,437.33,599.33,542.33,3439,3425,573.17,550.57,260,2878,1
Hospital 1007,Region 2,District 20,Instrument 7,0,0,22,0,45,0,45,0,45,0,45,0,202,16.83,0,45,0,22,45,90,45,7.33,15,30,15,67,135,11.17,19.29,260,234,1
Hospital 1007,Region 2,District 34,Instrument 2,49,51,60,46,44,41,63,55,43,42,44,44,582,48.5,45,63,41,160,131,161,130,53.33,43.67,53.67,43.33,291,291,48.5,47.43,13,300,1
Hospital 1007,Region 2,District 34,Instrument 3,4,4,4,4,4,4,4,4,4,4,4,4,48,4,4,4,4,12,12,12,12,4,4,4,4,24,24,4,4,13,180,1
Hospital 1007,Region 2,District 8,Instrument 2,1017,1058,1019,1001,1008,1272,1229,1127,1177,1247,1202,2186,14543,1211.92,1152,2186,1001,3094,3281,3533,4635,1031.33,1093.67,1177.67,1545,6375,8168,1062.5,1348.57,240,139560,1
Hospital 1008,Region 1,District 13,Instrument 2,2498,2569,2621,2521,2523,4111,4125,3925,3746,3537,3579,4514,40269,3355.75,3558,4514,2498,7688,9155,11796,11630,2562.67,3051.67,3932,3876.67,16843,23426,2807.17,3933.86,17,7344,1
Hospital 1008,Region 1,District 13,Instrument 3,1263,1088,1060,1091,1120,8,15,7,35,11,15,106,5819,484.92,70.5,1263,7,3411,2219,57,132,1137,739.67,19,44,5630,189,938.33,28.14,17,7452,1
Hospital 1008,Region 1,District 20,Instrument 2,0,12123,0,11973,0,10566,0,11761,0,11084,0,12788,70295,5857.92,5283,12788,0,12123,22539,11761,23872,4041,7513,3920.33,7957.33,34662,35633,5777,6599.86,98,23491,1
Hospital 1008,Region 1,District 20,Instrument 3,0,5148,0,11388,0,6763,0,5471,0,7566,0,4854,41190,3432.5,2427,11388,0,5148,18151,5471,12420,1716,6050.33,1823.67,4140,23299,17891,3883.17,3522,98,36995,1
Hospital 1008,Region 1,District 28,Instrument 2,7339,7511,7232,5398,6669,8892,7583,6016,7545,5720,6685,11325,87915,7326.25,7285.5,11325,5398,22082,20959,21144,23730,7360.67,6986.33,7048,7910,43041,44874,7173.5,7680.86,287,304776,1
Hospital 1008,Region 1,District 28,Instrument 3,1805,2082,2589,2543,2867,3539,3533,2880,2139,2483,2970,498,29928,2494,2566,3539,498,6476,8949,8552,5951,2158.67,2983,2850.67,1983.67,15425,14503,2570.83,2577.43,287,4608,1
Hospital 1009,Region 1,District 28,Instrument 5,111,0,0,0,0,0,0,0,0,0,150,0,261,21.75,0,150,0,111,0,0,150,37,0,0,50,111,150,18.5,21.43,100,34955,1
Hospital 101,Region 3,District 13,Instrument 2,7334,3088,2536,2404,55996,-33318,25457,19580,20187,17574,64444,14358,199640,16636.67,15966,64444,-33318,12958,25082,65224,96376,4319.33,8360.67,21741.33,32125.33,38040,161600,6340,18326,375,554992,1
Hospital 101,Region 3,District 13,Instrument 3,1389,1487,1146,1074,1071,219,365,913,1195,430,555,1680,11524,960.33,1072.5,1680,219,4022,2364,2473,2665,1340.67,788,824.33,888.33,6386,5138,1064.33,765.29,375,75180,1
Hospital 101,Region 3,District 13,Instrument 4,15504,17162,18434,19676,-37601,0,0,0,0,0,0,0,33175,2764.58,0,19676,-37601,51100,-17925,0,0,17033.33,-5975,0,0,33175,0,5529.17,0,375,52500,1
Hospital 101,Region 3,District 13,Instrument 5,20714,20390,20088,20162,20190,22162,20413,21195,20519,27163,20761,21300,255057,21254.75,20616.5,27163,20088,61192,62514,62127,69224,20397.33,20838,20709,23074.67,123706,131351,20617.67,21930.43,375,285078,1
Hospital 101,Region 3,District 20,Instrument 2,4278,0,4030,0,3168,0,3236,0,2435,0,3187,0,20334,1694.5,1217.5,4278,0,8308,3168,5671,3187,2769.33,1056,1890.33,1062.33,11476,8858,1912.67,1265.43,11,18630,1
Hospital 101,Region 3,District 20,Instrument 3,2319,0,1425,0,1099,0,1146,0,1126,0,1140,0,8255,687.92,549.5,2319,0,3744,1099,2272,1140,1248,366.33,757.33,380,4843,3412,807.17,487.43,11,12450,1
Hospital 1010,Region 2,District 17,Instrument 2,3544,3632,3660,3608,2011,3408,2975,3049,3026,3241,3177,3651,38982,3248.5,3324.5,3660,2011,10836,9027,9050,10069,3612,3009,3016.67,3356.33,19863,19119,3310.5,3218.14,249,16577,1
Hospital 1010,Region 2,District 18,Instrument 2,6632,9116,7382,8061,6781,7770,7827,12327,10851,11063,11683,11170,110663,9221.92,8588.5,12327,6632,23130,22612,31005,33916,7710,7537.33,10335,11305.33,45742,64921,7623.67,10384.43,76,53145,1
Hospital 1010,Region 2,District 20,Instrument 2,2521,190,2519,233,2052,101,2075,121,2251,144,2046,184,14437,1203.08,1139.5,2521,101,5230,2386,4447,2374,1743.33,795.33,1482.33,791.33,7616,6821,1269.33,988.86,46,3616,1
Hospital 1010,Region 2,District 20,Instrument 3,1798,66,1548,54,2206,116,1661,92,2337,105,2183,107,12273,1022.75,832,2337,54,3412,2376,4090,2395,1137.33,792,1363.33,798.33,5788,6485,964.67,943,46,1404,1
Hospital 1010,Region 2,District 44,Instrument 3,1916,2006,2042,1852,0,0,0,0,0,0,0,0,7816,651.33,0,2042,0,5964,1852,0,0,1988,617.33,0,0,7816,0,1302.67,0,7878,168,1
Hospital 1011,Region 4,District 32,Instrument 2,2068,2478,2322,1842,2130,2200,2464,2157,2257,2832,2524,2636,27910,2325.83,2289.5,2832,1842,6868,6172,6878,7992,2289.33,2057.33,2292.67,2664,13040,14870,2173.33,2438.57,4524,6600,1
Hospital 1011,Region 4,District 32,Instrument 3,569,680,679,399,572,573,561,599,609,612,672,651,7176,598,604,680,399,1928,1544,1769,1935,642.67,514.67,589.67,645,3472,3704,578.67,611,4524,175,1
Hospital 1011,Region 4,District 41,Instrument 2,823,823,574,448,408,401,247,208,213,283,300,287,5015,417.92,350.5,823,208,2220,1257,668,870,740,419,222.67,290,3477,1538,579.5,277,18,4998,1
Hospital 1011,Region 4,District 41,Instrument 3,164,164,89,80,79,76,47,43,54,52,38,37,923,76.92,65,164,37,417,235,144,127,139,78.33,48,42.33,652,271,108.67,49.57,18,1296,1
Hospital 1013,Region 3,District 13,Instrument 2,33,25,274,0,0,0,0,0,0,0,25943,2003,28278,2356.5,0,25943,0,332,0,0,27946,110.67,0,0,9315.33,332,27946,55.33,3992.29,40,270,1
Hospital 1013,Region 3,District 13,Instrument 3,0,0,24,0,0,0,0,0,0,0,0,21,45,3.75,0,24,0,24,0,0,21,8,0,0,7,24,21,4,3,40,12047,1
Hospital 1013,Region 3,District 13,Instrument 4,0,0,126,0,0,0,0,0,0,0,0,0,126,10.5,0,126,0,126,0,0,0,42,0,0,0,126,0,21,0,40,520,1
Hospital 1014,Region 1,District 12,Instrument 2,6839,19466,8320,-1835,6313,-2212,1167,4238,6208,6523,6166,5471,66664,5555.33,6187,19466,-2212,34625,2266,11613,18160,11541.67,755.33,3871,6053.33,36891,29773,6148.5,3937.29,457,119652,1
Hospital 1014,Region 1,District 12,Instrument 3,2075,2145,2041,2039,2033,2645,2983,1484,1218,1215,1192,0,21070,1755.83,2036,2983,0,6261,6717,5685,2407,2087,2239,1895,802.33,12978,8092,2163,1533.86,457,119652,1
Hospital 1014,Region 1,District 19,Instrument 2,6794,6348,6044,6989,4904,4338,3789,5520,4599,5683,4872,5983,65863,5488.58,5601.5,6989,3789,19186,16231,13908,16538,6395.33,5410.33,4636,5512.67,35417,30446,5902.83,4969.14,31,25935,1
Hospital 1014,Region 1,District 28,Instrument 2,17753,17424,20781,13034,-1658,15399,12074,11969,13062,13226,15372,24797,173233,14436.08,14299,24797,-1658,55958,26775,37105,53395,18652.67,8925,12368.33,17798.33,82733,90500,13788.83,15128.43,36,186264,1
Hospital 1014,Region 1,District 28,Instrument 3,2175,2003,1850,2679,1310,1363,1358,1346,1336,1357,1349,1543,19669,1639.08,1360.5,2679,1310,6028,5352,4040,4249,2009.33,1784,1346.67,1416.33,11380,8289,1896.67,1378.86,36,96810,1
Hospital 1014,Region 1,District 28,Instrument 4,1727,1461,1289,911,856,830,770,786,536,318,227,0,9711,809.25,808,1727,0,4477,2597,2092,545,1492.33,865.67,697.33,181.67,7074,2637,1179,495.29,36,29016,1
Hospital 1014,Region 1,District 39,Instrument 2,4985,4500,4486,4377,4296,4600,5881,5800,5534,5778,6722,7437,64396,5366.33,5259.5,7437,4296,13971,13273,17215,19937,4657,4424.33,5738.33,6645.67,27244,37152,4540.67,5964.57,43,29712,1
Hospital 1014,Region 1,District 4,Instrument 2,8609,14170,13787,13710,13924,13876,12243,11477,12044,12534,12740,6090,145204,12100.33,12637,14170,6090,36566,41510,35764,31364,12188.67,13836.67,11921.33,10454.67,78076,67128,13012.67,11572,25,136927,1
Hospital 1014,Region 1,District 44,Instrument 2,-3689,9903,14767,11950,25146,24538,23432,20287,20060,20167,20450,20578,207589,17299.08,20227,25146,-3689,20981,61634,63779,61195,6993.67,20544.67,21259.67,20398.33,82615,124974,13769.17,21358.86,114,152586,1
Hospital 1014,Region 1,District 44,Instrument 3,7957,8220,8844,7917,0,0,0,0,0,0,0,0,32938,2744.83,0,8844,0,25021,7917,0,0,8340.33,2639,0,0,32938,0,5489.67,0,114,152586,1
Hospital 1016,Region 3,District 13,Instrument 2,43037,45313,44011,45935,44357,71777,94406,52030,77747,77004,99605,84107,779329,64944.08,61903.5,99605,43037,132361,162069,224183,260716,44120.33,54023,74727.67,86905.33,294430,484899,49071.67,79525.14,10476,524616,1
Hospital 1016,Region 3,District 13,Instrument 3,14469,14888,12968,20752,15157,6521,4888,6763,4014,3935,6625,5786,116766,9730.5,6694,20752,3935,42325,42430,15665,16346,14108.33,14143.33,5221.67,5448.67,84755,32011,14125.83,5504.57,10476,701104,1
Hospital 1016,Region 3,District 13,Instrument 4,15602,17314,15209,15326,14117,0,0,0,0,0,0,0,77568,6464,0,17314,0,48125,29443,0,0,16041.67,9814.33,0,0,77568,0,12928,0,10476,48000,1
Hospital 1016,Region 3,District 13,Instrument 5,16883,16648,17227,18885,16616,19240,20675,19301,15652,21027,18923,22210,223287,18607.25,18904,22210,15652,50758,54741,55628,62160,16919.33,18247,18542.67,20720,105499,117788,17583.17,19575.43,10476,2376,1
Hospital 1016,Region 3,District 41,Instrument 3,1875,1875,1608,1698,1750,1257,1423,1459,1432,1452,1642,1502,18973,1581.08,1555,1875,1257,5358,4705,4314,4596,1786,1568.33,1438,1532,10063,8910,1677.17,1452.43,1048,3300,1
Hospital 1017,Region 5,District 20,Instrument 2,772,11,987,11,828,11,883,11,901,52,837,11,5315,442.92,412,987,11,1770,850,1795,900,590,283.33,598.33,300,2620,2695,436.67,386.57,13,427,1
Hospital 1017,Region 5,District 20,Instrument 3,216,0,945,0,62,0,351,0,170,0,-217,0,1527,127.25,0,945,-217,1161,62,521,-217,387,20.67,173.67,-72.33,1223,304,203.83,43.43,13,137,1
Hospital 1018,Region 5,District 39,Instrument 2,277,224,282,325,342,337,11445,10978,10821,10963,11788,8300,66082,5506.83,4321,11788,224,783,1004,33244,31051,261,334.67,11081.33,10350.33,1787,64295,297.83,9233.14,435,181,1
Hospital 1018,Region 5,District 39,Instrument 4,21,21,21,21,22,24,1309,1148,1092,1042,1740,1600,8061,671.75,533,1740,21,63,67,3549,4382,21,22.33,1183,1460.67,130,7931,21.67,1136.43,435,181,1
Hospital 1019,Region 1,District 41,Instrument 2,766,766,802,692,637,820,853,643,572,716,741,659,8667,722.25,728.5,853,572,2334,2149,2068,2116,778,716.33,689.33,705.33,4483,4184,747.17,714.86,24,900,1
Hospital 102,Region 1,District 13,Instrument 5,5873,5594,3706,3698,3590,4595,4261,4043,3906,3995,4012,3708,50981,4248.42,4003.5,5873,3590,15173,11883,12210,11715,5057.67,3961,4070,3905,27056,23925,4509.33,4074.29,439,67770,1
Hospital 102,Region 1,District 15,Instrument 2,531,573,610,459,1246,1366,1162,1457,1364,1503,1318,1383,12972,1081,1282,1503,459,1714,3071,3983,4204,571.33,1023.67,1327.67,1401.33,4785,8187,797.5,1364.71,6,15336,1
Hospital 102,Region 1,District 20,Instrument 2,455,0,604,0,861,0,702,0,681,0,652,0,3955,329.58,227.5,861,0,1059,861,1383,652,353,287,461,217.33,1920,2035,320,290.71,859,8280,1
Hospital 102,Region 1,District 28,Instrument 2,28,467,5448,4765,5313,5656,5372,4551,4761,4748,5649,12653,59411,4950.92,5039,12653,28,5943,15734,14684,23050,1981,5244.67,4894.67,7683.33,21677,37734,3612.83,6198.57,157,118170,1
Hospital 102,Region 1,District 28,Instrument 3,0,751,1851,1189,1160,1168,1158,1183,1168,1840,1835,116,13419,1118.25,1168,1851,0,2602,3517,3509,3791,867.33,1172.33,1169.67,1263.67,6119,7300,1019.83,1209.71,157,30656,1
Hospital 102,Region 1,District 32,Instrument 5,811,371,457,177,426,540,404,420,411,423,552,455,5447,453.92,424.5,811,177,1639,1143,1235,1430,546.33,381,411.67,476.67,2782,2665,463.67,457.86,49,12000,1
Hospital 102,Region 1,District 39,Instrument 2,977,957,739,999,1162,1355,1168,1074,808,1147,1304,447,12137,1011.42,1036.5,1355,447,2673,3516,3050,2898,891,1172,1016.67,966,6189,5948,1031.5,1043.29,3,160,1
Hospital 102,Region 1,District 48,Instrument 2,249,255,164,113,142,151,146,180,269,183,244,278,2374,197.83,181.5,278,113,668,406,595,705,222.67,135.33,198.33,235,1074,1300,179,207.29,27,10200,1
Hospital 1021,Region 5,District 39,Instrument 2,114,209,133,334,4463,8735,15895,16037,14928,14913,15351,21835,112947,9412.25,11824,21835,114,456,13532,46860,52099,152,4510.67,15620,17366.33,13988,98959,2331.33,15384.86,24,505304,1
Hospital 1023,Region 5,District 29,Instrument 2,47202,53238,3536,53442,42482,42841,41119,38483,32225,31532,46626,43798,476524,39710.33,42661.5,53442,3536,103976,138765,111827,121956,34658.67,46255,37275.67,40652,242741,233783,40456.83,39517.71,1788,159472,1
Hospital 1023,Region 5,District 29,Instrument 3,1714,1702,578,2463,2379,2542,2422,2429,2389,2405,2715,2339,26077,2173.08,2397,2715,578,3994,7384,7240,7459,1331.33,2461.33,2413.33,2486.33,11378,14699,1896.33,2463,1788,159472,1
Hospital 1024,Region 2,District 13,Instrument 2,592,609,589,671,962,1698,1593,1669,1682,1651,1595,1762,15073,1256.08,1594,1762,589,1790,3331,4944,5008,596.67,1110.33,1648,1669.33,5121,9952,853.5,1664.29,366,145932,1
Hospital 1024,Region 2,District 13,Instrument 3,1013,1074,1160,1125,948,145,485,18,21,1,6,1,5997,499.75,315,1160,1,3247,2218,524,8,1082.33,739.33,174.67,2.67,5465,532,910.83,96.71,366,6087,1
Hospital 1024,Region 2,District 41,Instrument 2,-371,11880,6009,12040,13058,12837,12821,12441,12382,11651,9973,-5733,108988,9082.33,11960,13058,-5733,17518,37935,37644,15891,5839.33,12645,12548,5297,55453,53535,9242.17,9481.71,2661,153468,1
Hospital 1024,Region 2,District 41,Instrument 3,12042,13205,13804,13994,15097,13888,13750,13659,13717,18803,15471,7237,164667,13722.25,13777,18803,7237,39051,42979,41126,41511,13017,14326.33,13708.67,13837,82030,82637,13671.67,13789.29,2661,199312,1
Hospital 1024,Region 2,District 41,Instrument 5,1019,1276,998,344,342,114,852,820,787,789,797,565,8703,725.25,793,1276,114,3293,800,2459,2151,1097.67,266.67,819.67,717,4093,4610,682.17,674.86,2661,16500,1
Hospital 1024,Region 2,District 41,Instrument 8,2556,1391,996,1053,939,1109,1148,955,975,975,579,557,13233,1102.75,985.5,2556,557,4943,3101,3078,2111,1647.67,1033.67,1026,703.67,8044,5189,1340.67,899.71,2661,9324,1
Hospital 1026,Region 5,District 20,Instrument 2,57,199,0,302,0,229,0,184,0,185,0,186,1342,111.83,120.5,302,0,256,531,184,371,85.33,177,61.33,123.67,787,555,131.17,112,210,72480,1
Hospital 1027,Region 1,District 13,Instrument 2,148,-1,3,0,0,49,63,63,67,65,61,70,588,49,62,148,-1,150,49,193,196,50,16.33,64.33,65.33,199,389,33.17,62.57,20,1815,1
